Nation,No,Helmsman,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Points,Place
GBR,6189,Peter Colclough,Philip Brown,,"0,75","0,75",5,3,"0,75",2,"7,25",1
GBR,5901,Phil Milanes,Will Hartje,,3,2,"0,75",2,2,10,"9,75",2
GBR,5997,L. Smith,H. Ashworth,,2,7,3,"0,75",8,120R,"20,75",3
GBR,6069,E Owen,A Gray,,10,6,4,5,3,6,24,4
GBR,6082,Derek Farrant,Bev Moss,,7,5,8,13,9,4,33,5
GBR,6177,Larry Marks,Christian Lippi,,4,19,6,14,4,5,33,6
GBR,6217,C Hornsey,I Corney,,5,23,10,6,7,8,36,7
GBR,6089,Peter White,John Davies,,15,8,12,4,6,7,37,8
GBR,6278,Mike Lingwood,John Labbett,,6,3,2,43,5,35,51,9
GBR,5396,Steve France,R Roberton,,14,104R,20,8,10,1,"52,75",10
GBR,6128,M Plaits,T Lawton,,17,11,7,9,14,16,57,11
GBR,6104,Neil Willmott,Paul Willmott,,8,10,11,15,38,14,58,12
GBR,6192,C Mckenzie,P Newlands,,13,16,13,11,20,11,64,13
HKG,6180,Eric Lockeyear,T Hammick,,16,9,25,7,21,19,72,14
GBR,5432,M Mountifield,D Comb.,,25,4,14,27,25,132D,95,15
GBR,6096,C Br Itton,A Jones,,27,51,118R,17,17,3,115,16
GBR,6124,H Bourn,T Tregaskis,,18,14,9,32,123R,45,118,17
GBR,6068,Michaeil Agrell,John Langley,,33,28,55,10,30,17,118,17
GBR,5938,N Young,J Riddett,,60,15,19,30,35,22,121,19
GBR,6155,Mike Hattemore,Mike Payne,,40,12,21,49,11,39,123,20
GBR,6244,C T Biscoe,G Pearce,,35,18,29,20,31,26,124,21
GBR,6318,K Jerkins,S Cooke,,41,17,23,40,16,30,126,22
GBR,6243,R Lord,A Tristram,,34,24,15,16,44,50,133,23
GBR,5785,13 White,S Wakeford,,24,30,36,35,123R,9,134,24
GBR,6285,A Thomas,M Quinn,,62,54,44,12,13,12,135,25
GBR,5964,R Willows,P Roome,,21,128N,34,28,24,33,140,26
GBR,6112,J Hereward,K Burroughs,,45,20,22,121R,37,18,142,27
GBR,5641,C Brown,P Meiklejohn,,42,31,24,18,28,52,143,28
GBR,6268,R Dalgleish,D Bull,,11,128N,31,31,40,34,147,29
GBR,6284,S Weekes,A Cole,,122R,44,37,24,15,27,147,29
GBR,6330,R. Parker,I Henry,,20,29,35,36,123R,29,149,31
GBR,6005,W. Mills,G Fears,,36,25,18,121R,23,48,150,32
GBR,5996,I Irvine,M Findlay,,23,39,26,19,46,1208,153,33
GBR,4305,N Alexander,T Glovep,,37,104R,27,21,49,21,155,34
GBR,6004,M Clifton,K Morris,,3,33,39,41,50,15,159,35
GBR,6000,R Abraham,P Woodhead,,22,27,32,53,33,1208,167,36
GBR,4760,G Wilson,P Wilson,,47,34,118R,42,22,23,168,37
GBR,6121,M Wincer,D Bayfield,,5,26,42,33,41,31,173,38
GBR,6282,T Wells,B Strickland,,51,32,33,29,123R,0,183,39
GBR,5085,D Clarke,B Cunningham,,54,36,17,37,39,56,183,39
GBR,5709,Thompson,M Nott,,56,35,47,25,36,46,189,41
GBR,6021,Robert Napier,J Gray,,19,104R,118R,34,27,13,197,42
GBR,6275,J Golding,D Buckley,,9,104R,30,38,19,132D,200,43
GBR,6279,J Fisher,R Rowan,,49,42,5,39,56,20,201,44
GBR,6175,J Donnelly,N Millard,,39,104R,118R,22,12,36,213,45
GBR,6001,T Marlow,L Brooks,,29,104R,38,23,58,65,213,45
GBR,5616,P Morris,P L Swafield,,30,41,118R,51,43,51,216,47
GBR,6125,J Evans,A Bailey,,43,40,4,58,48,120R,230,48
GBR,6080,P Bainbridge,J Campbell,,38,13,118,45,135D,25,239,49
GBR,5650,B Agrell,B Cox,,53,1048,63,52,32,43,240,50
GBR,6003,A Fountain,G. Carruthers,,12,128N,28,59,18,128N,245,51
GBR,5455,M Sixsmith,N Sixsmith,,61,43,61,44,60,37,245,51
GBR,6270,John Brim,N Turner,,28,104R,75,73,42,28,246,53
GBR,6071,Les Everitt,B Broadhurst,,52,104R,66,26,53,53,250,54
GBR,6066,M Lawton,A Bottomley,,57,46,43,55,51,67,252,55
GBR,6099,S Raven,G Raven,,26,21,40,1218,47,128N,255,56
GBR,5423,Vernon Ralston,J Murphy,,65,38,48,121R,54,54,259,57
GBR,4721,R Paddey,A. Starkie,,72,47,49,54,52,61,263,58
GBR,5051,Robin Whittle,I Luscombe,,44,128N,58,64,62,41,269,59
GBR,6145,S Lambourne,I Sharpe,,67,104R,16,65,65,63,276,60
GBR,6191,William Goodacre,C Maconie,,122R,52,46,47,81,57,283,61
GBR,6271,P. Baskerville,C Arnold,,48,48,65,56,66,66,283,61
GBR,6002,D. Gale,S Crisp,,77,104R,54,65,45,49,290,63
GBR,5161,Thomas Carr,C Pryce,,63,45,59,60,63,77,290,63
GBR,5288,J Edwards,Graham Thomas,,68,104R,69,121R,29,24,294,65
GBR,6049,T Tubby,K Mobbs,,59,55,50,61,76,120R,301,66
GBR,5812,S Tew,J Pullen,,64,104R,56,50,87,55,312,67
GBR,4064,S Barter,J. Barter,,128N,1045,13,46,61,32,316,68
GBR,5711,D Sallis,J. Sallis,,58,59,118R,57,26,128N,318,69
GBR,5978,N Wallace,D Beer,,134D,49,52,77,68,78,324,70
GBR,6113,P. Gaunce,J. Richards,,32,22,118R,121R,34,120R,326,71
GBR,5350,J Mitchell,A Spark,,74,61,72,75,123R,47,329,72
GBR,4483,B Elvy,S Gostling,,73,58,53,71,78,120R,333,73
GBR,5419,B Bullen,A Eastham,,91,50,58,62,70,120R,340,74
GBR,6110,0- Wood,C Eccles,,92,104R,1300,48,64,40,348,75
GBR,5813,D Campbell,S Campbell,,86,104R,77,121R,55,42,364,76
GBR,4207,David Revill,N Brackenbury,,81,56,62,91,128R,75,365,77
GBR,6075,C Hutton,M Lynch,,88,53,82,85,89,60,368,78
GBR,5863,S. M Adams,M Weinbrew,,98,37,45,90,100,120R,370,79
GBR,6207,N Faulkner,G Strong,,46,68,71,94,93,120R,372,80
GBR,5233,J Parmenter,O Terry,,75,104R,118R,66,57,71,373,81
GBR,5740,J Hitchin,D Wooden,,69,104R,57,89,83,79,377,82
GBR,5089,R Wilson,G Unwin,,122R,63,63,80,102,70,378,83
GBR,6063,0 Bell,J Murphy,,70,104R,89,72,85,64,380,84
GBR,6114,R Robertson,G Warren,,82,128N,64,82,79,73,380,84
GBR,5710,W Mon Tyre,D Beck,,87,65,70,102,74,85,381,86
GBR,6138,W Clark,J Blackwood,,66,104R,118R,133D,67,44,389,87
GBR,7976,J Craddock,G Dickenson,,122R,64,76,78,90,84,392,88
GBR,8377,M Wright,S Woolley,,80,66,85,99,72,120R,402,89
GBR,4063,0 Wansborough,D Johnson,,96,67,67,121R,95,80,405,90
GBR,4527,J Chorley,J Claxon,,78,57,118R,1331,91,62,406,91
GBR,6154,W Ge Sing,S Hammond,,105,128N,118R,71,69,58,420,92
GBR,5428,P Northeast,S Northeast,,84,128N,86,79,97,76,422,93
GBR,4788,J Nicoll,M Grande,,103,52,78,86,94,120R,423,94
GBR,5030,W Culshaw,M Johnson,,89,1048,81,1,59,132D,426,95
GBR,5210,J Hinchcliffe,A Longworth,,110,60,83,92,86,120R,431,96
GBR,8492,C Clark,T Clark,,94,1285,1188,83,80,59,434,97
GBR,6264,C Streatfield,P Ashford,,90,104R,92,76,73,120R,435,98
GBR,5732,S Turnbull,R Bailey,,97,128N,128N,74,77,68,444,99
GBR,1516,A Barnes,S Barnes,,83,104R,88,84,105,91,450,100
GBR,6342,J Taylor,J Morrison,,1285,128N,118R,68,71,74,459,101
GBR,4669,Dr P Farrands,P Farrands,,79,104R,80,122,75,120R,459,101
GBR,6283,P Cohen,A Crichton,,100,104R,118R,69,123R,69,460,103
GBR,5501,M Irving,M Robertson,,95,104R,79,96,135D,92,466,104
GBR,5764,G. Trout,G Saii,,76,104R,118R,87,135D,81,466,104
GBR,4421,R Shaw,A Stodel,,55,104R,118R,81,135D,120R,478,106
GBR,4497,P Mee,G Taylor,,101,104R,118R,121R,82,72,487,107
GBR,4625,T Wa Terf Al I,P Waterfall,,99,128N,74,67,128N,120R,488,108
GBR,4746,M Coulson,G Coulson,,71,128N,118R,95,84,120R,488,108
GBR,5712,Dr C Warren,Grossmith,,102,128N,84,133D,92,83,489,110
GBR,4462,R England,,,109,104R,90,106,104,96,500,111
GBR,3116,G Irenbirin,H Griffiths,,117,128N,91,101,108,95,507,112
GBR,5631,M Roberts,M Roberts,,104,128N,128N,100,88,87,507,112
GBR,4131,J Willcox,,,111,128N,118R,98,101,90,518,114
GBR,3406,J Meades,J Eales,,1285,128N,118R,88,96,89,519,115
GBR,3149,R Macmillan,Dr J Terfilwell,,113,104R,128N,103,109,97,526,116
GBR,4677,T Mcdonald,,,1228,128N,118R,105,98,86,529,117
GBR,5678,Alan Draper,J Oliver,,114,104R,118R,104,110,98,530,118
GBR,5275,T Rolff,P Rolff,,108,128N,128N,97,103,94,537,119
GBR,4541,R. Allen,P Allen,,93,128N,118R,128N,106,88,533,120
GBR,5795,M Lingwood,,,128N,104R,128N,128N,107,82,549,121
GBR,4187,11 Watson,B Hoult,,106,128N,87,128N,111,128N,560,127
GBR,8744,H. Gilliham,S. Curts,,85,104R,128N,128N,128N,128N,573,123
GBR,5870,J Bowman,J Daniels,,107,128N,130D,121R,99,137D,585,124
GBR,4785,M Nicol,N Talore,,143D,128N,128N,121R,135D,93,604,125
GBR,5454,J Sallis,M Dugdalf,,122R,104R,128N,128N,128N,128N,610,126
