Land,,Steuermann/-frau,Vorschoter/-in,Club,,Punkte,Platz
GER,8659,Axel Oberemm,Gerd Linnemann,BYC,,,1
GER,,Robert Wisolek,Christian Schuster,SVM,,,2
GER,8376,Volker Niedik,Stefan Heising,BSV,,,3
GER,,Markus Mühlbauer,Angela Stenger,DTYC,,,4
GER,8633,Jens Hartwig,Wolfi Stückl,PYC,,,5
GER,,Oliver Ziems,Ute Ziems,TSVS,,,6
GER,,Uwe Knop,Harry Brandt,WSC,,,7
GER,8392,Martin Seikel,Norbert Becker,YCRM,,,8
GER,8385,Martin Bernauer,Ulf Geißler,CKA,,,9
GER,8665,Nicolai Völckner,Lars Dehne,SVHB,,,10
GER,,Jens Hufnagel,Karsten Morf,SCSTM,,,11
GER,,Jens Knop,Dirk Kaiser,WSC,,,12
GER,,Hendrik Reinhardt,Jörg Roißoland,SVSF,,,13
GER,,Rainer Kremkow,Petra Beier,SCO,,,14
GER,,Sebastian Dörr,Christian Dörr,TSVM,,,15
GER,,Andreas Marcus,Wolfgang Kowalski,ASV,,,16
GER,,Lars Thiel,Anette Wegener,ZSV,,,17
