Land,,Steuermann/-frau,Vorschoter/-in,Club,,Punkte,Platz
GER,,Diethardt Freye,Ernst Meyer,SVSS,,,1
GER,8575,Sabine Meyer,Rolf Meyer,NRV,,,2
GER,8575,Joachim Hellmich,Christian Paschen,WYD,,,3
GER,8108,Jens Meinert,Jens Wilke,BCN,,,4
GER,,Bernd Rasenack,Lars Dehne,,,,5
GER,,Michael Köritz,Robert Meitzner,WYCA,,,6
GER,,Felix Ismar,Arnd Howar,WYD,,,7
GER,,Siegfried Labenz,Christian Labenz,SVWu,,,8
GER,,Guido Rölofs,Thomas Sobott,BCN,,,9
GER,8522,Carsten Engel,Daniela Braukmüller,PSVK,,,10
GER,8567,Jörg Detmold,Holger Neuhaus,SCH,,,11
GER,8621,Dirk Filimonow,Lars Stöckmann,SCSZ,,,12
GER,,Christian Grobecher,Helge Bühre,,,,13
GER,,Klaus Bardelt,Markus Niemann,RSC77,,,14
GER,,Reiner Gold,Stefan Schütze,DKSC,,,15
