Naition,Boat NO,Steuermann/-frau,Vorschoter/-in,Club,,,Platz
GER,8623,Stefan Böhm,Gerald Roos,SCV,,,1
DEN,8476,Jan Saugmann,Morten Ramsbæk,(DEN),,,2
DEN,8330,Lars Espersen,Soren Rohde,(DEN),,,3
GER,8621,Dirk Filimonow,Lars Stöckmann,SCSZ,,,4
GER,8505,Adalbert Kluck,Gerhard Schmidt,TSVS,,,5
DEN,8566,Hans Jørgen Riber,Adam Malling,(DEN),,,6
SWE,7343,Kalle Nilsson,Johan Barne,(SWE),,,7
GER,8659,Axel Oberemm,Gerd Linnemann,BYC,,,8
DEN,8082,Kim Christensen,Erik Ørsted-Hansen,(DEN),,,9
GER,8580,Ernst Meyer,Uwe Lätsch,SpYC,,,10
GER,8570,Hans-Heinrich Rix,Steffen Achenbach,RSVW,,,11
GER,8550,Dietrich Scheder-Bieschin,Johann Arvedson,NRW,,,12
DEN,8622,Tom Bojland,Anders Friis,(DEN),,,13
GER,8542,Tom Swift,Marten,WYC,,,14
GER,8666,Andreas Thomsen,Reinhard Schultz,RVE,,,15
GER,8642,Stefan Schollmayer,Francesco Sanguino,SCMSP,,,16
GER,,Armin Eismann,Tino Käcks,SCA,,,17
GER,8500,Jörg Häger,Thorsten Drewes,SCB,,,18
GER,8663,Ulf Pleßmann,Gunnar Voigt,SVST,,,19
GER,8385,Martin Bernauer,Ulf Geißler,CKA,,,20
GER,8633,Jens Hartwig,Wolfi Stückl,TSC,,,21
GER,8579,Markus Mühlbauer,Angela Stenger,DTYC,,,22
GER,,Uwe Knop,Ricarda Wolf,TSG,,,23
GER,8590,Stefan Köchlin,Andre Müller,SKF,,,24
GER,8634,Jörg Thumann,Oliver Stieglitz,TuSY,,,25
GER,,Gisela Bittner,Christian Bittner,SGaM,,,26
GER,8531,Jürgen Hatje,Ole Günther,SYC,,,27
GER,8582,Detlef Ihmels,Barbara Wand,SVPb,,,28
GER,,Arwed Meyer,Heiko Bienasch,ZYC,,,29
GER,8229,Felix Ordemann,Nora Schiessler,SVG,,,30
GER,,Georg Neulen,Michael Schütte,WYCA,,,31
GER,8528,Falko Braun,Peter Hobusch,SCR,,,32
GER,8539,Oliver Ziems,Ute Ziems,TSVS,,,33
GER,8222,Christian Koch,Justus Rauno,KYC,,,34
GER,8413,Martin Eckel,Erik Holz,HSC,,,35
GER,,Michael Köritz,Mirek Urbański,WYCA,,,36
GER,6786,Hendrik Reinhardt,Jörg Roißoland,SVSF,,,37
GER,,Roger Bussenius,Robert Bussenius,SCOH,,,38
GER,,Thomas Herter,Nicole Bunge,VSaW,,,39
