,,Steuermann/-frau,Vorschoter/-in,Club,,,Platz
GER,,Markus Mühlbauer,Angela Stenger,DTYC,,,1
GER,,Stefan Schollmayer,Francesco Sanguino,SCMSP,,,2
GER,,Kristin Wagner,Wolfi Stückl,DTYC,,,3
GER,8388,Christian Kellner,Andreas Achterberg,HSC,,,4
GER,,Robert Wisolek,Alexander Steger,SVM,,,5
GER,,Sebastian Dörr,Christian Dörr,TSVM,,,6
GER,,Wolfgang Seifert,Christian Voggeser,SGR,,,7
GER,,Martin Eckel,Erik Holz,HSC,,,8
GER,,Falko Braun,Andreas Linhart,SCR,,,9
GER,,Jochen Heydolph,,SCW,,,10
GER,,Günther Böckle,Frank Heimburger,SSCM,,,11
GER,,Florian Rdest,Sebastian Treml,,,,12
GER,,Ulli Stegbauer,Robert Plecher,HSC,,,13
GER,,Göran Berggren,Agnes Berggren,SCLW,,,14
GER,,Oliver Kraft,Silke Weinzapf,SSCM,,,15
GER,,Alexander v. Mertens,Andi Gärtner,,,,16
GER,,Horst Ristow,Dirk Pflüger,,,,17
GER,,Martina Oltrogge,Rosario Maida,TSVH,,,18
