Nation,Boat NO,Steuermann/-frau,Vorschoter/-in,Club,,,Platz
DEN,0,Tom Bøjland,Anders Friis,,,,1
GER,0,Ulf Pleßmann,Sven Kurka,SVST,,,2
GER,8633,Jens Hartwig,Wolfi Stückl,TSC,,,3
GER,0,Martin Görge,Rainer Görge,DYC,,,4
GER,0,Jörg Thumann,Franco Weichel,TuSY,,,5
GER,8550,Dietrich Scheder-Bieschin,Johann Arvedson,WSCW,,,6
GER,8570,Hans-Heinrich Rix,Steffen Achenbach,RSVW,,,7
GER,8664,Carsten Hammer,Rod Simpson,TSVS,,,8
GER,0,Gunther Peters,Jockel Jans,EnSFr,,,9
GER,8500,Jörg Häger,Würfel,SCB,,,10
GER,8630,David Thiemann,Mathias Haase,YCO,,,11
GER,0,Susanne Schwokowski,Henrike Rolf,WSCW,,,12
GER,0,Carsten Krauß,Norbert Lins,TSVS,,,13
GER,8542,Tom Swift,Marten, ,,,14
GER,0,Uwe Knop,Dirk Kaiser,TSG,,,15
GER,8505,Adalbert Kluck,Gerhard Schmidt,TSVS,,,16
GER,0,Jörg Detmold,Holger Neuhaus,SCH,,,17
GER,0,Thore Michels,Nina Schlömerkemper,ZSK,,,18
GER,0,Klaus Duncker,Sönke Reibisch,WSCW,,,19
GER,0,Jürgen Eigenbrod,Thomas Jung,RSVW,,,20
GER,0,Jockel Oetken,Stephan Oetken,FYC,,,21
GER,0,Bernd Kowalzig,Kai Erhardt,SCB,,,22
GER,0,Jürgen Hatje,Holger Buhl,SYC,,,23
GER,8670,Wolfgang Hunger,Holger Jess,PYC,,,24
GER,0,Gunther Arndt,Mirco Wigger,FYC,,,25
GER,0,Heinz Balters,Oliver Tessloff,WSCW,,,26
GER,8590,Stefan Köchlin,Axel Priegann, ,,,27
GER,8335,Roger Rachuba,Andreas Müller,HS,,,28
GER,0,Georg Schulz,Julia Jennrich, ,,,29
GER,0,Armin Eismann,Tino Käcks,AC-Arg,,,30
GER,8047,Grietje Therkorn,Dagmar Jans,SVK,,,31
GER,0,Ursula Tetzlaff,Antje Sauter,WSCW,,,32
GER,0,Mathias Jetschke,Jens Weishaupt,WSCW,,,33
GER,0,Nicolai Völckner,Lars Dehne,SVHB,,,34
GER,8609,Christian Müllejans,Hartwig Friedrichs,SVWu,,,35
GER,0,Christian Bittner,Jens Magdanz,Sgo.M,,,36
GER,0,Hendrik Brauns,Florian Reichel,SLSV,,,37
GER,0,Christian Koch,Justus Rauno,KYC,,,38
GER,0,Sascha Spittel,Harald Nowka,TSG,,,39
GER,0,Rainer Kremkow,Petra Beier,SCO,,,40
GER,0,Dirk Filimonow,Lars Stöckmann,SCSZ,,,41
