Land,boat NO,Steuermann/-frau,Vorschoter/-in,Club,,Punkte,Platz
GER,8670,Wolfgang Hunger,Holger Jess,PYC,,,1
GER,,Mathias Jetschke,Klaus Stammerjohann,WSCW,,,2
GER,,Diethardt Freye,Uwe Lätzsch,SVSS,,,3
GER,8590,Stefan Köchlin,Hans-Heinrich Rix,SKF,,,4
GER,,Jens Schlomka,Norman Schlomka,TSVS,,,5
DEN,,Jan Saugmann,Morten Ramsbæk,,,,6
GER,8659,Axel Oberemm,Gerd Linnemann,BYC,,,7
GER,8550,Dietrich Scheder-Bieschin,Sven Kurka,NRW,,,8
GER,8505,Adalbert Kluck,Gerhard Schmidt,TSVS,,,9
GER,,Andreas Thomsen,Reinhard Schultz,RVE,,,10
GER,,Joachim Hellmich,Christian Paschen,WYD,,,11
GER,8500,Jörg Häger,Thorsten Drewes,SCB,,,12
GER,,Jürgen Eigenbrod,Thomas Jung,RSVW,,,13
GER,8334,Klaus Duncker,Sönke Reibisch,WSCW,,,14
GER,8664,Carsten Hammer,Jockel Jans,TSVS,,,15
GER,,Oliver Ziems,Ute Ziems,TSVS,,,16
GER,8609,Christian Müllejans,Hartwig Friedrichs,SVWu,,,17
GER,8607,Bernd Kowalzig,Kai Erhardt,SCB,,,18
GER,,Alexander Happ,Karsten Steinbach,MSK,,,19
GER,,Dirk Hänsgen,Frank Rupprich,SVPB,,,20
GER,,Gunther Arndt,Mirco Wigger,FYC,,,21
GER,8222,Christian Koch,Justus Rauno,KYC,,,22
GER,,Suzi Pudenz,Antje Sauter,SCB,,,23
GER,,Felix Ismar,Arnd Howar,WYD,,,24
GER,,Julia Pechstein,Achim Funk,HSC,,,25
GER,8522,Carsten Engel,Holger Neuhaus,PSVK,,,26
GER,,Susanne Schwokowski,Henrike Rolf,WSCW,,,27
GER,,Ulrich Müller-Menzel,Michael Kieselow,WSRM,,,28
GER,,Jan Stölken,Matthias Brühl,ASC,,,29
GER,8478,Karsten Morf,Heike Jansen,CKA,,,30
GER,,Mathias Kaiser,Dirk Kaiser,SSV,,,31
DEN,,Matthiesen,Matthiesen,,,,32
GER,,Klaus Rieck,Sven Friederich,BSV,,,33
GER,,Kai-Uwe Weiss,Eric Wolf,,,,34
GER,,Dirk Kindler,Eike Dietrich,WSCW,,,35
GER,,Ole Paulsen,Ulli Riegger,BSV,,,36
GER,,Antje Paulsen,Björn Schaar,BSV,,,37
GER,,Armin Eismann,Tino Käcks,SCA,,,38
GER,,Grietje Therkorn,Dagmar Jans,SVK,,,39
GER,,Dirk Ipach,Jürgen Anton,,,,40
