NATION,Boat NO,Steuermann/-frau,Vorschoter/-in,Club,Punkte,Punkte,Platz
GER,8659,Axel Oberemm,Gerd Linnemann,BYc,,,1
GER,,Markus Mühlbauer,Uwe Lätsch,DTYC,,,2
GER,8633,Jens Hartwig,Wolfi Stückl,TSC,,,3
GER,8609,Christian Müllejans,Hartwig Friedrichs,SVWu,,,4
GER,8570,Hans-Heinrich Rix,Insa Oldigs,RSVW,,,5
GER,,Bernd Kowalzig,Kai Erhardt,SCB,,,6
GER,,Jörg Detmold,Holger Neuhaus,SCH,,,7
GER,8470,Nørbert Dasenbrook,Sven Meier, ,,,8
GER,,Oliver Ziems,Ute Ziems,TSVS,,,9
GER,,Jürgen Hatje,Stefan Hildebrand,SYC,,,10
GER,,Carsten Engel,Tobias Neumeyer,PSVK,,,11
GER,,Martin Herbst,Harald Nowka,TSG,,,12
GER,8571,Karl Heinz Hilgers,Wolfgang Bogacki,DSCU,,,13
GER,,Felix Ordemann,Nora Schiessler,SVG,,,14
GER,,Hans-Georg Joost,Ulrich Joost,YCRM,,,15
GER,8478,Volker Görge,Marlies Endjer,TSVS,,,16
GER,,Guido Rölofs,Thomas Sobott,BCN,,,17
GER,,Grietje Therkorn,Dagmar Jans,SVK,,,18
GER,,Jens Meinert,Jens Wilke,BCN,,,19
GER,,Christian Paschen,Arnd Howar, ,,,20
GER,,Jens Hufnagel,Jens Pohl,SCSTM,,,21
GER,,Ulrich Müller-Menzel,Michael Kieselow,WSRM,,,22
GER,8665,Nicolai Völckner,Lars Dehne,SVHB,,,23
GER,,Karsten Steinbach,Michael Schindler, ,,,24
GER,,Andre Tirre,Frank Wille,YCZ,,,25
GER,8222,Christian Koch,Justus Rauno,KYC,,,26
GER,,Christian Kühle,Benjamin Kirchen, ,,,27
GER,,Christian Grobecher,Helge Bühre, ,,,28
GER,,Mathias Kaiser,Roman Stenzel, ,,,29
GER,,Rainer Kremkow,Petra Beier,SCO,,,30
GER,,Dirk Ipach,Harald Bruhn, ,,,31
GER,,Simon Marburger,Christine Fackeldy,SVSchw,,,32
GER,,Jörn Richter,Antje Sauter, ,,,33
GER,,Oliver Eggenstein,Anke Niggemeier,SKMD,,,34
