,,Steuermann/-frau,Vorschoter/-in,Club,,,Platz
GER,8633,Jens Hartwig,Wolfi Stückl,TSC,,,1
GER,,Wolfgang Seifert,Christian Voggeser,SGR,,,2
SUI,8440,Urs Scherrer,Peter Schmidle,(SUI),,,3
GER,,Oliver Ziems,Ute Ziems,TSVS,,,4
SUI,8426,Marcel Plüss,Yvo Dürr,(SUI),,,5
GER,,Stefan Schollmayer,Francesco Sanguino,SCMSP,,,6
GER,,Dirk Hänsgen,Frank Rupprich,SVPb,,,7
GER,,Detlef Ihmels,Barbara Wand,SVPb,,,8
GER,,Christian Meissner,Jörn Leuckel,YCSS,,,9
GER,,Heinz Wietzorrek,Andreas Jakob,SCLW,,,10
GER,,Falko Braun,Stefan Worm,SCR,,,11
GER,,Martin Eckel,Thoralf Greger,HSC,,,12
GER,,Jochen Heydolph,Eckard Busch,SCW,,,13
GER,8388,Christian Kellner,Andreas Achterberg,HSC,,,14
GER,,Martin Thalmayer,Bernd Thalmayer,SCLW,,,15
GER,,Michael Tetzner,Thomas Tetzner,SCLW,,,16
GER,,Göran Berggren,Agnes Berggren,SCLW,,,17
GER,,Achim Funk,Friedrich Funk,SCPb,,,18
GER,,Klaus Eifler,Klaus Schmidtke,SCLW,,,19
GER,,Ulli Stegbauer,Robert Plecher,HSC,,,20
GER,,Andreas Müller,Christoph Müller,YCSS,,,21
SUI,,Heine Kyburz,Herbert Hermann,(SUI),,,22
