Nation,Boat NO,Steuermann/-frau,Vorschoter/-in,Club,,,Platz
DEN,,Lars Espensen,Bören Rohde,RY (DEN),,,1
DEN,8082,Kim Christensen,Eric Hansen,(DEN),,,2
GER,,Carsten Hammer,Rod Simpson,TSVS,,,3
DEN,,Ann-Sophie Olasen,Carsten Pedersen,AY (DEN),,,4
GER,,Jürgen Eigenbrod,Thomas Jung,RSVW,,,5
GER,,Jörg Thumann,Franco Weichel,TuSY,,,6
GER,,Carsten Krauß,Norbert Lins,TSVS,,,7
GER,,Tom Gosch,Rolf Meyer,,,,8
GER,8609,Christian Müllejans,Hartwig Friedrichs,SVWu,,,9
GER,8657,Georg Neulen,Martin Klawon,WYCA,,,10
GER,,Siegfried Labenz,Christian Labenz,SVWu,,,11
GER,,Andreas Thomsen,Reinhard Schultz,RVE,,,12
GER,8630,David Thiemann,Mathias Haase,YCO,,,13
GER,8670,Wolfgang Hunger,Holger Jess,PYC,,,14
GER,,Martin Herbst,Harald Nowka,TSG,,,15
GER,8500,Jörg Häger,Thorsten Drewes,,,,16
GER,,Alexander Happ,Karsten Steinbach,MSK,,,17
GER,,Susanne Schwokowski,Henrike Rolf,WSCW,,,18
GER,,Armin Eismann,Tino Käcks,SCA,,,19
GER,,Helmut Mannsbarth,Waldemar Schönebeck,SCK,,,20
GER,,Jens Hufnagel,Jens Pohl,SCSTM,,,21
GER,,Klaus Duncker,Eike Dietrich,WSCW,,,22
GER,,Oliver Rendt,Sven Friederich,BSV,,,23
GER,,Grietje Therkorn,Dagmar Jans,SVK,,,24
GER,,Christian Koch,Justus Rauno,KYC,,,25
GER,,Jürgen Hatje,Jörg Müller,SYC,,,26
GER,,Rainer Kremkow,Petra Beier,SCO,,,27
GER,,Antje Paulsen,Björn Schaar,BSV,,,28
GER,,Klaus Rieck,Oliver Deutschbein,BSV,,,29
GER,,Arwed Meyer,Heiko Bienasch,ZYC,,,30
GER,,Olaf Rackers,Jens Westermann,,,,31
GER,,Ole Paulsen,Ulli Riegger,BSV,,,32
