Nation,Boat NO,Steuermann/-frau,Vorschoter/-in,Club,,,Platz
GER,8570,Hans-Heinrich Rix,Insa Oldigs,RSVW,,,1
GER,8657,Martin Görge,Thorsten Haverland,DYC,,,2
GER,8478,Volker Görge,Marlies Endjer,TSVS,,,3
GER,,Oliver Ziems,Ute Ziems,TSVS,,,4
GER,,Detlef Ihmels,Barbara Wand,SVPb,,,5
GER,,Carsten Kraus,Norbert Lins,TSVS,,,6
GER,,Jürgen Eigenbrod,Thomas Jung,RSVW,,,7
GER,,Jürgen Hatje,Karsten Morf,SYC,,,8
GER,,Andreas Thomsen,Reinhard Schultz,RVE,,,9
GER,,Jens Hufnagel,Karsten Stille,SCSTM,,,10
GER,,Armin Eismann,Tino Käcks,SCA,,,11
GER,8500,Jörg Häger,Thorsten Drewes, ,,,12
GER,8222,Christian Koch,Dirk Schrage,KYC,,,13
GER,,Alexander Happ,Karsten Steinbach,MSK,,,14
GER,8376,Volker Niedik,, ,,,15
GER,8404,Helmut Mannsbarth,Waldemar Schönebeck,SCK,,,16
GER,,Jörg Morche,Sven Friederich,BSV,,,17
GER,8669,Tim Böger,,HSC,,,18
GER,,Hauke Rathjens,Frank Uhlmann,KYC,,,19
GER,8607,Bernd Kowalzig,Uli Ellerbeck,SCB,,,20
GER,,Gunther Peters,,EnSFr,,,21
GER,8670,Wolfgang Hunger,Holger Jess,PYC,,,22
GER,,Dagmar Theophil,Mathias Jetschke, ,,,23
GER,8505,Adalbert Kluck,Gerhard Schmidt,TSVS,,,24
GER,8590,Stefan Köchlin,Nicole Hunecke,SKF,,,25
GER,,Grietje Therkorn,Dagmar Jans,SVK,,,26
GER,,Georg Schulz,Julia Jennrich, ,,,27
GER,,Ursula Tetzlaff,Antje Sauter,WSCW,,,28
GER,,Klaus Heeschen,,VFS,,,29
GER,,Christoph Blecken,Hannes Becker, ,,,30
GER,,Antje Paulsen,Björn Schaar,BSV,,,31
