,,Steuermann/-frau,Vorschoter/-in,Club,,Punkte,Platz
GER,8664,Carsten Hammer,Klaus Stammerjohann,TSVS,,,1
GER,,Diethardt Freye,Cord-Henrich Lefhalm,SVSS,,,2
GER,8634,Jörg Thumann,Franco Weichel,TuSY,,,3
GER,,Roger Rachuba,André Müller,HS,,,4
GER,,Nicolai Völckner,Lars Dehne,SVHB,,,5
GER,,Jan Stölken,Matthias Brühl,ASC,,,6
GER,,Ulrich Müller-Menzel,Michael Kieselow,WSRM,,,7
GER,,Bernd Rasenack,,,,,8
GER,,Jobst v. Werder,Ingo Gericke,,,,9
GER,,Peter Borck,Heiko Haake,,,,10
GER,,Wolfgang Thieschäfer,Elke Thieschäfer,YCZ,,,11
GER,,Jens Hufnagel,Jens Pohl,SCSTM,,,12
GER,,Tim Steinert,Jonas Lencer,YCZ,,,13
GER,,Andreas Wulfes,Karsten Wulfes,WSCG,,,14
GER,,Barbara Jesse,Heino Sahling,SGB,,,15
GER,,Jan Bakker,Jens Steinert,,,,16
GER,,Michael Köritz,Michael Urbanski,WYCA,,,17
GER,,Andre Tirre,Frank Wille,YCZ,,,18
GER,8222,Christian Koch,Justus Rauno,KYC,,,19
GER,,Heiko Bühring,Nils Bühring,YCZ,,,20
GER,,Christian Kühle,Benjamin Kirchen,,,,21
