,Segelnr.,Steuermann/-frau,Vorschoter/-in,Club,,,Platz
GER,8670,Wolfgang Hunger,Holger Jess,PYC,,,1
DEN,8620,Rasmus Damsgaard,Søren Overbeck,SKSHS,,,2
DEN,8476,Jan Saugmann,Morten Ramsbaek,HS,,,3
DEN,8082,Kim Christensen,Peter Jakobsen,KBL,,,4
GER,8575,Thomas Gosch,Rolf Meyer,ENSFV,,,5
GER,8550,Dietrich Scheder-Bieschin,Johan Arvedson, ,,,6
GER,8657,Martin Görge,Rainer Görge,DYC,,,7
DEN,8566,Hans Jørgen Riber,Adam Malling,SKS,,,8
GER,8580,Ernst Meyer,Uwe Lätzsch,SPYC,,,9
DEN,8656,Jan Moller, ,KDY/HS,,,10
GER,8570,Hans-Heinrich Rix,Steffen Achenbach,CKA,,,11
DEN,8405,Klaus Natorp,Erik Ørsted Hansen,AY,,,12
DEN,8622,Tom Bojland,Anders Friis,SES,,,13
GER,8621,Dirk Filimonow,Lars Stoeckmann,SCSg,,,14
GER,8473,Diethardt Freye,Cord-Henrich Lefhalm,SVSS,,,15
DEN,8551,Jacob Ernst,Jesper Ernst,HS,,,16
GER,8663,Ulf Pleßmann,Hans Hans,SVSt,,,17
GER,8634,Joerg Thumann,Franco Weichel,TusY,,,18
GER,8478,Volker Görge,Karsten Morf,TSVS,,,19
GER,8470,Nørbert Dasenbrook,Sven Meier,KSW,,,20
GER,8609,Christian Müllejans,Hartwig Friederichs,SVWU,,,21
GER,8590,Stefan Kochlin,Axel Priegann,SKF,,,22
GER,8666,Andi Thomsen,Paule Schultz,RVE,,,23
GER,8365,Carsten Krauß,Norbert Lins,TSVS,,,24
GER,8630,David Thiemann,Mathias Haase,YCO,,,25
GER,8665,Nicolai Völckner,Lars Dehne,HSC,,,26
GER,8500,Jörg Häger,Thorsten Drewes,SCB,,,27
GER,8539,Olaf Oberländer,Ute Ziems,ROYC,,,28
GER,8567,Jörg Detmold,Holger Neuhaus,SCH,,,29
GER,8334,Klaus Duncker,Sönke Reibisch,WSCW,,,30
GER,8108,Jens Meinert,Jens Wilke,BCN,,,31
GER,8279,Susanne Schwokowsky,Henrike Rolf,WSCW,,,32
DEN,8565,Anne-Sophie Olesen,Carsten Petersen,AY,,,33
GER,8608,Gunter Peters,Hauke Drengenberg,EnSfr,,,34
GER,8404,Helmut Mannsbarth,Waldemar Schoenebeck,SCK,,,35
SWE,8655,Krister Bergström,Thomas Moss,GKSS,,,36
GER,8505,Adalbert Kluck,Gerhard Schmidt,TSVS,,,37
GER,8659,Axel Oberemm,Gerd Linnemann,BYC,,,38
GER,8607,Bernd Kowalzig,Kai Erhardt,SCB,,,39
GER,8430,Matthias Jetschke,Jens Weishaupt,WSCW,,,40
GER,8054,Jens-Peter Schlomka,Mira Grättinger,TSVS,,,41
GER,8669,Tim Böger, ,HSC,,,42
GER,8571,Karl-Heinz Hilgers,Wolfgang Bogacki,DSCU,,,43
DEN,8144,Niels Alslev,Anders Pjetorsson,FAS,,,44
GER,7962,Jens Hufnagel,Jens Pohl,SLSTM,,,45
DEN,8330,Lars Espersen,Søren Rohde,RS,,,46
GER,7878,Karsten Steinbach,Michael Schindler,ASV,,,47
GER,8335,Roger Rachuba,Andreas Müller,SCST,,,48
SWE,8619,Mikael Ahrbom,Claes Thurell,KSSS,,,49
GER,8469,Carsten Engel,Tobias Neumeyer,PSVK,,,50
GER,6685,Georg Neulen,Michael Schütte,WYCA,,,51
GER,8370,Sascha Spittel,Jörg Huss,SYC,,,52
GER,8287,Hendrik Brauns,Florian Reichel,SLSV,,,53
GER,855*,Carsten Hammer,Chris Hartkopf, ,,,54
DEN,8561,Peter Möller,Thomas Jensen,NSK,,,55
SWE,8427,Jan Eriksson,Kalle Byrenius,NSS,,,56
GER,7548,Thilo König,Kristine Förster,OSVE,,,57
DEN,7934,Kristoffer Møllevang,Jakob Karbo, ,,,58
GER,8222,Christian Koch,Justus Rauno,KYC,,,59
