Land,Platz,Steuermann/-frau,Vorschoter/-in,Club,,Punkte,Platz
GER,,Markus Mühlbauer,Angela Stenger,DTYC,,,1
GER,,Sebastian Dörr,Christian Dörr,TSVM,,,2
GER,,Wolfgang Seifert,Christian Voggeser,SGR,,,3
GER,8473,Oliver Kraft,Andreas Göggel,SSCM,,,4
GER,,Robert Wisolek,Ch. Eberl,SVM,,,5
GER,,Christina von Koch,Wolfi Stückl,,,,6
GER,,Kai Löblein,Roland Wiedemann,DTYC,,,7
GER,,Christian Meissner,Jörn Leuckel,YCSS,,,8
GER,,Florian Rdest,Christian Schuster,,,,9
GER,,Andreas Achterberg,Johannes Schmidt,DTYC,,,10
GER,,Peter Daferner,Francesco Sanguino,,,,11
GER,,Helmut Spiske,M. Zehetmaier,SGR,,,12
GER,,Ulli Stegbauer,Bertl Pleder,HSC,,,13
GER,,Werner Gärtner,R. Wiesmeier,,,,14
GER,,Jochen Heydolph,Eckard Busch,SCW,,,15
