,,Steuermann/-frau,Vorschoter/-in,Club,,Punkte,Platz
SWE,8655,Krister Bergström,Holger Jess,,,,1
DEN,8656,Jörgen Schönherr,Jan Bojsen-Møller,,,,2
GER,,Tom Gosch,Rolf Meyer,,,,3
GER,,Ronald Roos,Gerd Linnemann,SVWu,,,4
GER,8669,Tim Böger,Phillip Christian,HSC,,,5
GER,8657,Martin Görge,Rainer Görge,DYC,,,6
GER,8663,Ulf Pleßmann,Sven Kurka,SVST,,,7
GER,8621,Dirk Filimonow,Lars Stöckmann,SCSZ,,,8
GER,8570,Hans-Heinrich Rix,Steffen Achenbach,RSVW,,,9
GER,8388,Christian Kellner,Andreas Achterberg,HSC,,,10
GER,,Stefan Böhm,Gerald Roos,SCV,,,11
GER,,Jens Schlomka,Klaus Stammerjohann,TSVS,,,12
GER,8500,Jörg Häger,Thorsten Drewes,SCB,,,13
GER,,Ernst Meyer,Uwe Lätsch,SpYC,,,14
GER,8633,Jens Hartwig,Wolfi Stückl,PYC,,,15
GER,8505,Adalbert Kluck,Gerhard Schmidt,TSVS,,,16
GER,8392,Martin Seikel,Norbert Becker,YCRM,,,17
GER,8590,Stefan Köchlin,Axel Priegann,SKF,,,18
GER,8665,Nicolai Völckner,Lars Dehne,SVHB,,,19
GER,,Jens Knop,Dirk Kaiser,,,,20
GER,8385,Martin Bernauer,Harry Brandt,CKA,,,21
GER,,Stefan Schollmayer,Francesco Sanguino,SCMSP,,,22
GER,8607,Bernd Kowalzig,Kai Erhardt,SCB,,,23
GER,,Markus Mühlbauer,Angela Stenger,DTYC,,,24
GER,,Oliver Ziems,Ute Ziems,TSVS,,,25
GER,,Carsten Krauß,Norbert Lins,TSVS,,,26
GER,,Robert Wisolek,Alexander Steger,SVM,,,27
GER,8472,Hans Nöldecke,Kai Löblein,SVE,,,28
GER,8571,Karl Heinz Hilgers,Wolfgang Bogacki,DSCU,,,29
GER,,Göran Berggren,Andreas Jakob,SCLW,,,30
GER,,Susanne Schwokowski,Henrike Rolf,WSCW,,,31
GER,,Uwe Knop,Ricarda Wolf,TSG,,,32
GER,8539,Olaf Oberländer,Achim Funk,ROYC,,,33
GER,8108,Jens Meinert,Jens Wilke,BCN,,,34
GER,,Sebastian Dörr,Christian Dörr,TSVM,,,35
GER,8334,Klaus Duncker,Sönke Reibisch,WSCW,,,36
GER,,Diethardt Freye,Cord-Henrich Lefhalm,SVSS,,,37
GER,,Armin Eismann,Tino Käcks,SCA,,,38
GER,8470,Norbert Dasenbrook,Sven Meier,,,,39
GER,,Arwed Meyer,Heiko Bienasch,ZYC,,,40
GER,,Martin Eckel,Alexander v. Mertens,HSC,,,41
GER,,Simon Marburger,Jan Tusche,SVSchw,,,42
GER,,Jürgen Hatje,Karsten Morf,SYC,,,43
GER,,Martin Herbst,Harald Nowka,TSG,,,44
GER,,Rainer Kremkow,Petra Beier,SCO,,,45
GER,,Detlef Ihmels,Barbara Wand,SVPb,,,46
GER,,Jochen Heydolph,Eckard Busch,SCW,,,47
GER,,Grietje Therkorn,Dagmar Jans,SVK,,,48
GER,,Roger Bussenius,Robert Bussenius,SCOH,,,49
GER,6786,Hendrik Reinhardt,Jörg Roißoland,SVSF,,,50
GER,8222,Christian Koch,Justus Rauno,KYC,,,52
