Sail,No.,Helm,Crew,Club/Country,Race 1,Race 2,Race 3,Race 4,Points,,Pos.
GER,8671,Markus Mühlbauer,Angela Stenger,DTYC,3*,3,1,1,8,5,1
GER,8633,Frieder Achterberg,Wolfi Stückl,DTYC,13*,1,2,6,22,9,2
FRA,8484,Philippe Blanchard,Carole Blattner,,5*,2,3,5,15,10,3
FRA,8455,Marcel Buffet,Damien Trouillet,,1,4,6,7*,18,11,4
GER,8652,Sebastian Dörr,Christian Dörr,HSC,8*,8,4,4,24,16,5
FRA,8008,Marc Dousselin,Alain Beltzung,,7*,7,7,3,24,17,6
FRA,7941,Veronique Dousselin,Jean-Pierre Peter,,2,9*,9,9,29,20,7
GER,8528,Falko Braun,Philipp Führer,SCR,4,11*,10,8,33,22,8
GER,8642,Stefan Schollmayer,Francesco Sanguino,SCMSP,11*,10,11,2,34,23,9
FRA,8336,Georges Chalandre,Guy Hebinger,,9,16*,5,10,40,24,10
FRA,8415,Alfred Grosheny,Bertrand Grosheny,,12,6,8,13*,39,26,11
GER,8691,Günther Böckle,Frank Heimburger,SSCM,10,5,18*,14,47,29,12
FRA,362,Jerome Terrasson,Charles Briffotevaux,,6,14,12,20 PMS*,52,32,13
GER,8005,Detlef Stock,Jürgen Puschmann,SGW,15*,12,14,11,52,37,14
GER,8472,Kai Löblein,Roland Wiedemann,DTYC,14,19*,13,12,58,39,15
GER,7870,Andreas Müller,Christoph Müller,YCSS,16*,13,16,16,61,45,16
GER,8601,Jürgen Feuerhake,Margit Falk,YCSB,17,18*,15,15,65,47,17
GER,8392,Alexander von Mertens,Jochen Heydolph,,18*,17,17,17,69,51,18
GER,8166,Roland Boettcher,Gabi Boettcher,SVGA,20 PMS*,15,19,20 PMS,74,34,19
