Nation,Boat No,Helm,Crew,,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,,total,
FRA,8402,Philippe Boite,Jean-Luc Muzellec,,1,1,8,17,1,6,,17,1
DEN,8656,Jan Møller,Jacob Bojsen-Møller,,15,DNC,2,2,2,3,,24,2
GBR,8640,Vernon Ralston,Simon Spratt,,37,4,5,4,7,7,,27,3
GBR,8552,Mark Upton-Brown,Ian Mitchell,,26,3,1,1,3,DNC,,34,4
GER,8542,Tom Swift,Martin Schöler,,10,10,6,32,12,5,,43,5
GBR,8495,David Peacock,Nigel Vooght,,28,6,9,7,14,11,,47,6
GER,8663,Ulf Pleßmann,Sven Kurka,,20,26,10,9,5,9,,53,7
GER,8575,Joachim Hellmich,Rolf Meyer,,2,DNC,4,12,22,14,,54,8
GER,8623,Stefan Böhm,Gerald Roos,,13,24,21,5,15,2,,56,9
GBR,8677,Ian Pinnell,Nick Powell,,19,12,7,8,10,DNC,,56,10
DEN,8405,Klaus Natorp,Erik Ørsted,,17,5,22,16,16,8,,62,11
FRA,8684,Pierre-Jean Gallo,Fabrice Toupet,,27,13,14,15,13,12,,67,12
GER,8388,Christian Kellner,Andréas Achterberg,,21,22,26,3,6,16,,68,13
FRA,8382,Eric Petit,Richard Lefevre,,8,DNC,18,13,11,19,,69,14
GER,8634,Jörgen Thumann,Franco Weichel,,12,9,DNC,21,17,13,,72,15
SUI,8426,Marcell Plüss,Yvo Dürr,,5,15,37,20,33,1,,74,16
SUI,8016,Jean-Francois de Cerjat,Lionel Hollinger,,75,11,23,11,20,10,,30,17
GER,8460,Martin Goult,Gordon Russell,,DNC,30,16,14,9,23,,92,18
DEN,8675,Rasmus Fredsted,Thomas Hartvig,,62,28,12,19,27,22,,108,19
SUI,8459,Caroline Stolz,Marti Ueli,,11,8,25,25,44,DNC,,113,20
DEN,8620,Jan Saugmann,Morten Ramsbæk,,14,2,3,10,DND,4,,119,21
GER,8392,Martin Seikel,Norbert Becker,,45,38,17,27,28,15,,125,22
GER,8661,Diethardt Freye,Cord-Henrich Lefhalm,,4,DNC,11,18,8,DNC,,141,23
FRA,8564,Laurent Haÿ,Franck Tudal,,42,18,34,23,47,24,,141,24
FRA,8455,Marcel Buffet,Damien Trouillet,,32,45,40,33,18,31,,154,25
