Land,Segel-Nr.,Steuermann/-frau ,Vorschoter/-in ,Club,Laufwertunge 1,Laufwertunge 2,Laufwertunge 3,Laufwertunge 4,Laufwertunge 5,Laufwertunge 6,Punkte,Punkte,Pl. 
,,,,,,,,,,,,,1
,,,,,,,,,,,,,2
GER,8519,Robert Wisolek,Christian Schuster,SVM,1,3,7,4,2,22 DNC,,,3
,,,,,,,,,,,,,4
,,,,,,,,,,,,,5
,,,,,,,,,,,,,6
GER,8652,Sebastian Dörr,Christian Dörr,HSC,11,7,1,2,13,8,,,7
,,,,,,,,,,,,,8
,,,,,,,,,,,,,9
,,,,,,,,,,,,,10
GER,8414,Stefan Worm,Mathias Kaiser,SCR,7,9,22 DNF,22 PMS,3,11,,,11
GER,8691,Günther Böckle,Frank Heimburger,SSCM,13,11,8,11,14,10,,,12
GER,8413,Martin Eckel,Tobias Quadfass,HSC,20,17,12,13,10,7,,,13
,,,,,,,,,,,,,14
,,,,,,,,,,,,,15
GER,6610,Hans Himmelsbach,Andreas Gottlieb,SSCM,12,16,9,14,19,14,,,16
GER,8005,Detlef Stock,Andrea Stock,SGW,17,14,13,15,22 DNC,22 DNC,,,17
GER,4930,Martin Handel,Martin Uhl,SGK,15,21,19,19,18,13,,,18
,,,,,,,,,,,,,19
,,,,,,,,,,,,,20
GER,8518,Nils Burghard,Susanne Bauer,TSVM,22 DNF,22,16,22 PMS,16,15,,,21
GER,8254,Michael Kleis,Manfred Kleis,SSCM,22 DNF,18,21,22 PMS,22 DNC,22 DNC,,,22
