Nation,Sail No,Skipper,Crew,Club,"Race 1
15 Jan 21","Race 2
15 Jan 21","Race 3
15 Jan 21","Race 4
16 Jan 21","Race 5
16 Jan 21","race 6
16 Jan 21","race 7
17 Jan 21","race 8
17 Jan 21","race 9
17 Jan 21",Nett,Pos
AUS,9059,Christopher Paterson,Thor Schoenhoff,Fremantle Sailing Club,1,1,1,-4,1,1,1,1,-3,7,1
AUS,9192,Mark Stowell,Jake Bessen,Fremantle Sailing Club,2,-9,2,1,-3,2,3,3,2,15,2
AUS,8811,Emma Plasschaert,Matt Wearn,Fremantle Sailing Club,-10,3,(12 DNF),3,6,4,2,2,1,21,3
AUS,8855,Nicholas Mariani,Alex Thomson,Fremantle Sailing Club,3,2,3,-6,2,3,-6,4,5,22,4
AUS,9226,Matt Hansen,Chris White,Fremantle Sailing Club,4,(12 DNF),4,-8,4,6,5,5,6,34,5
AUS,9048,Robert Fleming,Shane Attwell,Fremantle Sailing Club,8,4,7,-10,7,5,-9,8,4,43,6
AUS,1*,Nia Jerwood,,Fremantle Sailing Club,5,8,5,5,5,7,8,-10,-9,43,7
AUS,8973,Riley Skipworth,John Goodchild,Fremantle Sailing Club,9,5,9,2,(12 DNF),(12 DNC),7,6,8,46,8
AUS,9017,Roger Pell,Ed Repsevicius,Fremantle Sailing Club,7,7,6,-11,9,9,4,-11,7,49,9
AUS,8667,Grant Abbott,Matt Till,Fremantle Sailing Club,6,6,8,9,8,8,-10,9,-10,54,10
AUS,91*,Luke Abbott,,,(12 DNC),(12 DNC),12 DNC,7,12 DNF,12 DNC,11,7,11,72,11
