Sail,Number,Name,,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Total Pts.,Net Pts.,Rk.
BEL,8898,Bas Van Assche,Toon Van Assche,LZF,2,1,1,2,1,[4],11,7,1
FRA,9220,Philippe Boite,Thibault Di Pède,CVSQ,3,[6],2,1,2,1,15,9,2
FRA,8716,Aline Martin,Augustin Doumic,Y C ILE DE,1,2,[7],3,3,2,18,11,3
BEL,8613,Kim Van Assche,Tessa Liebens,LZF,5,7,3,4,4,[8],31,23,4
BEL,8949,Cedric Crets,Lionel Lambert,RCNV,4,4,4,[6],5,6,29,23,5
FRA,8870,Christian Silvestre,,Yacht Club de I'lle de,[8],5,6,5,6,3,33,25,6
FRA,9019,Veronique Brenet,Jean-Pierre Peter,ACADL,7,3,8,[12],11,5,46,34,7
BEL,8625,Stijn Oyen,Tijs Ferson,LZF,[13],11,10,7,8,10,59,46,8
BEL,9064,Didier Trine,Philippe Vandersteen,SNEH,9,12,[13],8,7,11,60,47,9
FRA,9219,Elisabeth Neidhart,Matthieu Gougeon,Y C ILE DE,6,8,9,14,12,[18] DNS,67,49,10
BEL,9121,Paul Gorremans,Marie-Pierre Gorremans,SIROCCO,[18] DNC,18 DNC,5,10,10,7,68,50,11
GER,9040,Harald Konig,Katja Frühwald-König,SRVL-S,10,10,11,9,[15],13,68,53,12
BEL,8844,Frank Boonen,Ronald Vanthoor,NLM,11,9,12,13,[14],12,71,57,13
BEL,8553,Pierre Gorremans,Jean-Emmanuel Gorremans,SIROCCO,[18] DNC,18 DNC,18 DNF,11,9,9,83,65,14
BEL,8400,Théo Geeraerts,Antoine Poncin,SNEH,[18] DNS,14,14,15,13,14,88,70,15
FRA,7710,Jean-Pierre Derungs,Tom Roussel,CVMLA,12,13,[18] DNC,18 DNC,18 DNC,18 DNC,97,79,16
BEL,8742,Frédéric Decocq,Gilles Bernon,SNEH,[18] DNC,18 DNC,15,16,16,18 DNS,101,83,17
