Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2","Race 3","Race 4","Race 5","Race 6",Brutto,Netto,Place
DEN,8962,"Jørgen Bojsen-Møller","Jacob Bojsen-Møller",HS,1,2,1,5,1,4,14,,1
GER,8957,"Wolfgang Hunger","Julien Kleiner",PYC,3,1,2,1,2,"OCS 23",32,,2
GER,8728,"Meike Schomäker","Rainer Görge",ZSK,2,4,4,4,3,3,20,,3
GER,8875,"Jens Findel","Johannes Tellen",KYC,4,3,3,6,"OCS 23",2,41,,4
GER,8927,"Martin Görge","Hans-Heinrich Rix",TSVS,9,6,7,3,6,1,32,,5
DEN,8964,"Jan Saugmann","Morten Ramsbæk",HiS,8,5,6,2,4,"OCS 23",48,,6
GER,8958,"Stefan Köchlin","Andreas Achterberg",SKF,6,7,5,9,7,5,39,,7
DEN,8826,"Tom Bøjland","Anders Friis",Farum,5,10,12,7,5,8,47,,8
DEN,8440,"Mikkel Christiansen","Mads Christiansen",Aas,7,12,8,11,10,6,54,,9
GER,8669,"Tim Böger","Markus Schöner",HSC,11,9,11,"OCS 23",9,7,70,,10
DEN,8849,"Per Larsen","Henrik Andersen",Farum,10,8,10,8,13,12,61,,11
DEN,8828,"Jon Andersen","Lasse Andresen",Reers,13,14,9,10,8,"OCS 23",77,,12
DEN,8232,"Jonas Christiansen","Mikkel Bardram",,12,11,15,12,15,10,75,,13
GER,8775,"Jan Sell","Wiebke Gewinn",TUSF,114,15,14,13,11,11,178,,14
GER,8940,"Jörg Thumann","Oliver Stieglitz",TuSJ,16,17,16,15,14,9,87,,15
GER,8563,"Stefan Schmidt","Jens Lücke",SVSS,17,13,13,17,17,14,91,,16
DEN,8495,"Bent Lundsager","Uffe Andersen",FAS,18,16,18,18,12,13,95,,17
SWE,8917,"Jesper Fowelin","Andreas Carlsson",ÖLSS,19,18,17,16,16,15,101,,18
SWE,8837,"Tord Lawner","Douglas Wangdal",GKSS,15,19,29,14,18,17,112,,19
GER,8730,"Enno Wilts","Thorge Holm",SVBB,20,20,19,20,19,16,114,,20
DEN,8888,"Gabriel Schönau","Georg Bry",,"DNC 23","DNC 23","DNC 23",19,29,18,135,,21
DEN,8448,"Michael Bernfeld","Claus Iversen",,"DNC 23","DNC 23","DNC 23",21,"DNC 23","DNC 23",136,,22
