Nation,Boat NO,Helm,Crew,CLUB,,POINTS,Place
FRA,,Nicolas Loday,Philippe Chaigne,C.N.B.T.,,8.7,1
FRA,,Marcel Buffet,Stéphane Fleury,C.V.P.,,21.7,2
FRA,,Daniel Blanchard,Philippe Blanchard,A.C.A.L.,,22.7,3
FRA,,Patrice Granger,Wacquez/Alain Lehoerff,.V.B.,,56,4
FRA,,Marc Bouet,David,S.N.O.,,58.7,5
FRA,,Bernard Moret,Rene Morch,C.V.L.,,60.7,6
FRA,,Jouany,Courgeon,Maziere,,62,7
FRA,,Laplassotte,Vilcot,C.V.C.,,73.5,8
FRA,,Juaneda,Dineur,Y.C.P.R.,,75.7,9
FRA,,Chabeau,Chabeau,C.V. Arcachon,,76.7,10
