Nation,Boat No,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Total,Points,Place
FIN,8923,Joonas Lindgren,Michael Wolontis,HSK/NJK/BS,-2,1,1,1,1,1,7,5,1st
FIN,8466,Sampsa Hyysalo,Antti Salonen,HSK/HYP,4,2,2,2,3,-6,19,13,2nd
FIN,8924,Raimo Raita,Juha Nurmela,Vene-71,1,4,(19 OCS),5,6,2,37,18,3rd
FIN,8057,Kaj Lindfors,Johan Halonen,ASS,3,-5,4,4,2,5,23,18,4th
FIN,8632,Jari Hamström,Tuomas Laurila,EMK,7,3,5,-9,8,3,35,26,5th
FIN,8748,Jouni Valli,Iiro Jaakonsaari,N / MPS,5,10,-12,3,4,8,42,30,6th
FIN,8561,Tomi Laiho,Miika Perden,BSF,8,-12,10,11,7,4,52,40,7th
FIN,8620,Markus Wikar,Tommy Andersson,SSJ,-14,9,3,6,12,11,55,41,8th
FIN,8405,Eero Niemitalo,Juhani Heimsch,BSF/KoPu,-15,7,9,14,5,12,62,47,9th
FIN,7784,Thomas Held,Timo Vennonen,BSS/HSK,9,13,7,8,10,(19 DNS),66,47,10th
FIN,8582,Anssi Kienanen,Kaarle Kauppinen,HSS,6,14,(19 OCS),10,9,9,67,48,11th
FIN,8659,Kira Maisniemi,Matti Dillemuth,HSK,11,11,11,-13,11,7,64,51,12th
FIN,8873,Ari Peltoniemi,Tapani Elovirta,HSK,13,-16,6,12,14,10,71,55,13th
FIN,7824,Erkka Ikonen,Jukka Suonpää,TaPs,10,8,8,16,13,(19 DNS),74,55,14th
FIN,8585,Henri Räty,Atte Piiroinen,N/HSK,12,6,(19 OCS),7,19 DNS,19 DNS,82,63,15th
FIN,7809,Maria Kuosa,Jussi Kuosa,HSK,16,15,13,-17,16,13,90,73,16th
FIN,8320,Tatu Miettinen,Ville Tarvo,LPS,17,17,15,15,15,(19 DNS),98,79,17th
FIN,8136,Vesa Leskinen,Jukka Saren,HSK/LP,(19 DNC),19 DNC,14,18,17,19 DNS,106,87,18th
