Nation,Boat No,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Points,Position
IRL,8987,Peter Scannell,John Dunlea,Monkstown,10,2,1,2,1,1,7,1
CAN,73*,Jeff Boyd,Adam Shell,Kingston YC,1,1,2,5,2,2,8,2
CAN,8600,Marie Gendron,Nicolas Tosi,Nepean SC,5,5,10,1,4,4,19,3
CAN,8260,Shona Moss Lovshin,Devlin Lovshin,Nepean SC,2,3,10,6,6,5,22,4
CAN,8722,Renka Gesing,Adam Gesing,OHCC,4,10,10,4,3,6,27,5
CAN,9138,Marek Balinski,Tim Willis,OHCC,3,4,10,7,7,7,28,6
CAN,8288,Paul Clifford,Alex Byczko,Westwood,10,10,10,3,5,3,31,7
USA,8850,Doug Watson,Chris Watson,OHCC,6,10,10,10,10,10,46,8
CAN,8264,Peter Hale,Steve Lovshin,OHCC,10,10,10,8,10,10,48,9
