Nation,SailNo,HelmName,,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Boat,Total,Net,Rank
CAN,6910,John Bryant,,NSC,0.75,0.75,3,[5],2,0.75,[4],3,3,Toil & Trouble,22.25,13.25,1st
CAN,7346,Dave Adams,,NSC,3,3,2,2,0.75,3,[5],4,[6],Loose Unit,28.75,17.75,2nd
CAN,8410,Clarissa Bush,,NSC,[5],4,0.75,3,[6],2,3,5,2,Bandersnatch,30.75,19.75,3rd
CAN,8735,Brent Beninger,,NSC,4,[5],4,0.75,3,4,0.75,[9 DNF],4,Spaghetti Factory,34.50,20.50,4th
CAN,8600,Marie Gendron,,NSC,6.50,2,[9 DNC],[9 DNC],7,6,2,2,0.75,Mystery,44.25,26.25,5th
CAN,8260,Shona Moss Lovshin,,NSC,2,[9 DNC],[9 DNC],4,5,5,7,0.75,5,Red Rocket,46.75,28.75,6th
CAN,9138,Marek Balinski,,OHCC,[8],6,5,7,4,[8],6,7,7.50,Boat,58.50,42.50,7th
CAN,8368,Paul Place,,NSC,6.50,7,6,6,[8],7,[8],6,7.50,Send It!,62,46,8th
