Nation,Boat NO,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Total,Netto,Place
FRA,4170,Bouet,Levesque,SNO,,,,,,,8.7,1
FRA,4206,Granger,Wacquez,CVB,,,,,,,21.7,2
FRA,3953,Jouany,Courgeon,CNM,,,,,,,24.7,3
FRA,3971,Brillouet,Drubay,SRR,,,,,,,55,4
FRA,3923,Bernard Moret,René Morch,CVL,,,,,,,56.4,5
FRA,4167,Paitre,Buck,YCIP,,,,,,,65.4,
FRA,3490,Levesque,Bapst,SNO,,,,,,,75.4,7
FRA,3732,Reynier,Thierry Moreau-Defarges,CVP,,,,,,,75.7,8
FRA,3703,Marcel Buffet,Stéphane Fleury,CVP,,,,,,,79,9
FRA,,Choday,Guezou,CNB,,,,,,,79.7,10
FRA,2017,Le Troquer,Lepoivre,ycpr,,,,,,,82,11
FRA,4142,Lapalu,Colin,CNCP,,,,,,,88,12
FRA,4193,Boissuere,Brassem,CVB,,,,,,,101,13
FRA,3850,Quehen,Quehen,YCB,,,,,,,102,14
FRA,3646,Wastiaux,Langerotte,Cyvm,,,,,,,108,15
,,,,,,,,,,,,16
,,,,,,,,,,,,17
,,,,,,,,,,,,18
,,,,,,,,,,,,19
,,,,,,,,,,,,20
,,,,,,,,,,,,21
,,,,,,,,,,,,22
,,,,,,,,,,,,23
,,,,,,,,,,,,24
,,,,,,,,,,,,25
,,,,,,,,,,,,26
,,,,,,,,,,,,27
,,,,,,,,,,,,28
,,,,,,,,,,,,29
,,,,,,,,,,,,30
,,,,,,,,,,,,31
,,,,,,,,,,,,32
,,,,,,,,,,,,33
,,,,,,,,,,,,34
,,,,,,,,,,,,35
,,,,,,,,,,,,36
,,,,,,,,,,,,37
,,,,,,,,,,,,38
,,,,,,,,,,,,39
,,,,,,,,,,,,40
,,,,,,,,,,,,41
,,,,,,,,,,,,42
,,,,,,,,,,,,43
,,,,,,,,,,,,44
,,,,,,,,,,,,45
,,,,,,,,,,,,46
,,,,,,,,,,,,47
,,,,,,,,,,,,48
,,,,,,,,,,,,49
,,,,,,,,,,,,50
,,,,,,,,,,,,51
