Nation,Boat NO,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Total,Netto,Place
FRA,,Marcel Buffet,Stéphane Fleury,C.V.P.,,,,,,,1
FRA,,Breteche,Bapst,S.N.O.,,,,,,,2
FRA,,Nicolas,Auclert,C.V.T.,,,,,,,3
FRA,,Bouvet,Chaigne,C.N.B.P.,,,,,,,4
FRA,,La Llemand,La Llemand,Y.C.I.F.,,,,,,,5
,,,,,,,,,,,6
,,,,,,,,,,,7
,,,,,,,,,,,8
,,,,,,,,,,,9
,,,,,,,,,,,10
,,,,,,,,,,,11
,,,,,,,,,,,12
,,,,,,,,,,,13
,,,,,,,,,,,14
,,,,,,,,,,,15
,,,,,,,,,,,16
,,,,,,,,,,,17
,,,,,,,,,,,18
