Nation,Boat NO,Helm,Crew,Club,Race 1,Points,Place
GBR,7589,Peter Colclough,Harold Barnes,,,3,1
SWE,7591,Ebbe Rosén,Olle Wenrup,,,"8,75",2
SWE,7542,Krister Bergström,Dan Göransson,,,20,3
GBR,7524,Phil Milanes,John Labbett,,,22,4
GBR,7018,J. Patterson,J. Showell,,,23,5
GBR,7491,E. W. Owen,J. Richards,,,32,6
GBR,7399,N. Buckley,S. Birbeck,,,36,7
GBR,7391,Mark Elkington,Paul Elkington,,,36,8
GBR,7307,Peter Kyne,Robbie Roberton,,,46,9
HKG,7621,Mark Thornburrow,G. O'Higgins,,,48,10
GBR,7556,Neil Willmott,Paul Willmott,,,50,11
GBR,7447,David Treloar,Allan Bailey,,,52,12
GBR,6933,Ozzie Stewart,Ray Selling,,,54,13
GBR,7622,Peter White,Bev Moss,,,59,14
GBR,7277,David White,K. Richardson,,,60,15
GBR,7430,John E. Kobylanski,Simon Briddon,,,62,16
GBR,7580,Mike Platts,Steve Cooke,,,63,17
GBR,7472,P. Withers,I. Banbury,,,72,18
GBR,7547,Andrew Gilmore,Nigel Squirrell,,,75,19
GBR,7555,M. Lawton,H. Myers,,,77,20
GBR,7446,Robert Trickett,M. Payne,,,77,21
GBR,7504,Ian Andrew,Geoff Holden,,,79,22
GBR,7461,Andrew Booth,K. Summergill,,,81,23
SWE,7592,Petter Nilsson,Claes Gustafsson,,,81,24
GBR,7460,John McLaren,Jack Edwards,,,91,25
GBR,7427,Ian Stewart,P. Broom,,,98,26
GBR,7436,Steve France,M. Gotrel,,,99,27
GBR,7435,C. Lewis,D. Webster,,,106,28
GBR,7378,Vernon Ralston,Peter Siddall,,,115,29
GBR,7578,Richard Lord,Les Rant,,,118,30
GBR,7189,Adrian Gibbons,David Gibbons,,,119,31
GBR,7449,David Revill,Nigel Brackenbury,,,120,32
GBR,7627,David Clark,R. Crates,,,120,33
GBR,7579,Steve Lambourne,Ivan Sharpe,,,129,34
GBR,7543,S. Adams,A. Knight,,,133,35
GBR,7315,David Wansborough,Powles,,,135,36
GBR,7432,Ben Tucker,Phil Cotton,,,146,37
GBR,7006,C. Timmins,I. Munro,,,146,38
GBR,7170,Stephen Cottrell,G. Floyd,,,147,39
GBR,7577,Mike Hattemore,W. Lowrey,,,148,40
GBR,7541,David Wood,Chris Day,,,150,41
GBR,7624,Colin Fry,John Woodhouse,,,152,42
GBR,7544,R. Cady,K. Norris,,,154,43
GBR,7309,Stephen Northeast,A. Gibson,,,161,44
GBR,7546,David Rose,Nigel Bultitude,,,170,45
GBR,7441,Lloyd Fryer,Mike Cox,,,171,46
GBR,7390,John Murphy,David Williamson,,,179,47
GBR,6948,C. Stodel,A. Stodel,,,179,48
GBR,7588,Peter Fordham,N. Brooker,,,186,49
GBR,6436,G. Pike,N. Appleton,,,190,50
GBR,7626,William Ingram,Peter Meiklejohn,,,194,51
GBR,7554,J. Powell,C. Joyce,,,195,52
GBR,7565,I. Coleman,P. Hallinan,,,196,53
GBR,6881,Martin Oliver,Barry Evans,,,198,54
GBR,7425,Roger Deane,Tim Williams,,,199,55
GBR,7325,Damien Chisholm,J. Chisholm,,,203,56
GBR,7277,B. Dunning,Graham Thomas,,,210,57
GBR,6548,Nicholas Smith,Barry Smith,,,211,58
GBR,7004,N. Hammond,A. Mason,,,216,59
GBR,6514,R. Hunt,M. Harry,,,219,60
GBR,6959,Judith French,Peter French,,,227,61
GBR,7353,G. Lowrey,C. Lowrey,,,223,62
GBR,7163,Robin Whittle,Nigel Annereau,,,225,63
GBR,6785,E. Barrowcliffe,Gareth Edwards,,,227,64
GBR,6782,I. Hawthorn,C. Brockbank,,,227,65
GBR,7494,D. Cole,A. Day,,,229,66
GBR,7387,M. Holmes,A. Bowers,,,229,67
GBR,7567,Jim Berry,R. Brueton,,,232,68
GBR,7428,David Allinson,S. Allinson,,,234,69
GBR,6781,Paul Walker,Mike Porter,,,235,70
GBR,7527,Peter Fisher,Michael Robertson,,,236,71
GBR,7158,R. Cooper,M. Jones,,,240,72
GBR,6868,K. Bugden,C. Salmon,,,245,73
GBR,7552,Jonathan Hughes,D. Readman,,,254,74
GBR,7345,T. Marlow,G. Bullard,,,255,75
GBR,7216,Joan Ingram,J. Hitchin,,,258,76
GBR,65581*,A. Tyler,S. House,,,265,77
GBR,7434,Barry Middleditch,Peter Coit,,,271,78
GBR,7272,Kim Gavin,Colin Chamberlain,,,285,79
GBR,7502,Dave Parker,D. Russel,,,286,80
GBR,7473,G. Clow,M. Shaw,,,287,81
GBR,6794,Rob Palmerone,G. Walch,,,294,82
GBR,6440,D. Worth,G. Lagar,,,295,83
GBR,7553,Stephen Tew,M. Pullen,,,296,84
