Narion,Boat NO,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Points,Place
IRL,8945,Alex Barry,Adam Kenny,,1,1,1,4,1,1,1,,1
IRL,8961,Charles Dwyer,Conor Kelly,,7,4,3,1,2,2,2,,2
IRL,8497,Colin Barry,Dennis Cartwright,,3,5,2,3,3,4,5,,3
IRL,8955,Ewen Barry,Simon Lake,,2,3,4,2,7,12,3,,4
IRL,7771,Brian Jones,Gary Frost,,4,2,5,6,5,3,4,,5
GBR,8907,Jim Berry,David Barnes,,6,7,6,5,10,5,10,,6
IRL,8552,Michael O'Brien,John O'Gorman,,5,6,7,8,4,12,13,,7
IRL,8380,Charles McCarthy,Jeannie McCarthy,,8,8,8,7,6,12,8,,8
IRL,8*08,Mike O'Brien,Josh Barrett,,10,10,9,APA8.4,APA8.4,6,7,,9
IRL,8679,James O'Brien,Lisa O'Brien,,9,9,11,10,8,7,6,,10
IRL,8216,Joanne McCarthy,Steven O'Reilly,,13,13,10,9,9,12,13,,11
IRL,7852,Wade Cuppage,Robert Cuppage,,13,13,13,11,11,13,13,,12
