Naiton,l Sail,Crew,From,City,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 9,1,2,,
USA,8083,Neal Fowler,Dave Dyson,Sandwich,-2,2,1,2,2,1,1,1, MA/Westbrook,CT,10,1
USA,8627,Tim Collins,Bill Smith,Bristol,1,1,-2,1,1,2,2,2, RI/Brookline, MA,10,2
USA,8660,Andy Herlihy,Drew Buttner,New Bedford,3,(10/DNF),4,6,10/DNS,3,4,3, MA,,33,3
USA,8013,Rick Thompson,Dave Smith,Boston,(10/DNF),10/DNF,6,4,4,4,3,4, MA / NYC,,35,4
USA,7358,Nick Burke,Matt Sovis,Marblehead,4,3,3,3,3,(10/DNS),10/DNS,10/DNS, MA,,36,5
USA,8737,Tom Hurwitch,Christian Madsen,Falmouth,6,4,5,5,5,-7,7,6, MA,,38,6
USA,7068,Ted Ferrarone,JB Ferrarone,Mamaroneck,(10/DNF),10/DNS,7,10/DNF,10/DNS,6,5,5, NY,,53,7
USA,8261,Bill Heintz,Seuschek,,5,(10/DNF),10/DNS,10/DNS,10/DNS,5,6,7,NY / VA,,53,8
USA,8766,Frank Maldari,,Andover,(10/DNS),10/DNS,10/DNS,10/DNS,10/DNS,10/DNS,10/DNS,10/DNS, MA,,70,9
