Nation,Boat,Helm,Crew,Clu,Race1,Race2,Race3,Race4,Race5,Netto,Place
GER,8990,Frieder Achterberg,Wolfgang Stueckl,DTYC,1,[3],1,3,2,7,1
GER,9011,Michael Daisenberger,Benemaur Schute,DTXC,2,1,2,2,[3],7,2
GER,8975,Alexander Holzapfel,Sven Meier,,3,2,3,[6],4,12,3
FIN,8632,Jari Hamstrom,Tuomas Laurila,EMK,4,4,[7],5,6,19,4
SUI,9060,Catherine Houriet,Gill Donze,YCG,6,5,5,4,[8],20,5
GER,9028,Stefan Koechlin,Andreas Achterberg,Sus,[11 DNC],11 DNC,11 DNC,1,1,24,6
ITA,8743,Marco Giraldi,Antonio Binacchi,442-15-U V MACCAGNO ASS SPORT,5,6,4,9,[11 DNF],24,7
FIN,8320,Tatu Miettinen,Alfredo Quartini,LPS,7,7,[8],7,5,26,8
ITA,8671,Giacinto Piacquadio,Andrea Messina,ycc,8,9,6,[10],9,32,9
SUI,8862,Robert Wisolek,Clemens Pirker,SCLW,[11 DNF],8,9,8,7,32,10
