,Boot,Steuermann,Vorschoter,Club,Platzierungen 1,Platzierungen 2,Platzierungen 3,Platzierungen 4,Platzierungen 5,Platzierungen 6,Platzierungen 7,Platzierungen 8,Punkte,Pl.
GER,8862,Stefan Böhm,Gerald Roos,SCV,7,2,8,2,1,13,2,4,,1
DEN,8620,Jan Saugmann,Morten Ramsbæk,HiS,6,14,4,9,6,6,1,1,,2
GBR,8882,Ian Pinnell,Carl Gibbons,GWSC,10,6,6,4,13,2,3,3,,3
GER,8875,Jens Findel,Johannes Tellen,KYC,18,1,1,3,3,8,14,5,,4
FRA,8771,Philippe Boite,Fabrice Toupet,CVM,2,4,5,10,16,4,4,9,,5
GBR,8881,Terry Scutcher,Christian Diebitsch,Shotley,5,3,9,5,5,15,12,2,,6
GER,8744,Martin Görge,Hans-Heinrich Rix,TSVS,1,11,7,11,4,1,16,7,,7
GER,8580,Michael Seeger,Andreas Achterberg,DTYC,3,8,3,1,15,9,5,13,,8
GER,8901,Michael Daisenberger,Wolfgang Stückl,DTYC,19,13,14,8,8,3,7,11,,9
GER,8880,Christian Kellner,Robert Rothe,HSC,8,5,10,6,7,21,36,8,,10
GER,8466,Volker Niedik,Stefan Heising,BSV,4,7,20,14,19,5,18,10,,11
GER,8932,Dirk Filimonow,Lars Stöckmann,BSV,11,10,2,26,2,23,15,27,,12
SUI,8729,Florian Stauffer,Philippe Jacot,CVN,20,19,26,7,DNC,7,6,6,,13
GER,8843,Nicolai Völckner,Lars Dehne,HSC,12,12,18,24,9,20,8,15,,14
SUI,8543,Cedric Bart,Rene Betschen,CNB,13,20,11,12,14,12,17,DNC,,15
DEN,8828,Jon Andersen,Lasse Andresen,Reers,9,21,17,19,12,DNF,9,14,,16
DEN,8849,Per Larsen,Henrik Andersen,Farum,26,9,12,20,17,11,19,DNC,,17
GER,8874,Nørbert Dasenbrook,Sven Meier,KSW,15,15,32,18,10,19,25,18,,18
DEN,8826,Tom Bøjland,Uffe Andersen,Farum,16,17,16,22,21,31,11,17,,19
GBR,8887,Richard Williams,Paul Davies,,14,39,15,25,11,14,23,20,,20
GER,8777,Stefan Schollmayer,Francisco Sanguino,SCMSP,22,23,24,15,18,29,10,12,,21
GBR,8905,Stuart Turnbull,Jason Lunn,Burton,27,18,19,28,22,17,13,16,,22
GBR,8745,Chris Pearson,Paul Von Grey,QMSC,34,42,30,16,37,10,22,23,,23
GBR,8906,Harry Briddon,Simon Briddon,,30,26,36,23,23,34,24,21,,24
GER,8507,Alexander Holzapfel,Stefan Worm,PSVK,31,27,13,17,25,22,DNC,DNC,,25
GBR,8885,Ben Iliffe,Simon Lake,,17,22,38,21,24,18,DNC,DNC,,26
GER,8642,Thoralf Greger,Christoph Klein,ASVG,25,36,DNC,13,31,32,28,24,,27
GER,8751,Frank Weigelt,Angela Stenger,DTYC,21,16,31,33,28,35,DNC,31,,28
GER,8621,Stephan Schweiger,Thorsten Koch,SCLW,23,25,35,38,41,16,30,30,,29
GBR,8474,Chris Thorne,Mike Priddle,Port.,35,29,27,27,29,33,21,33,,30
ITA,8743,Marco Giraldi,Paolo Corbellini,UVM,24,24,25,29,27,DNF,41,35,,31
ITA,8127,Marco Gambardella,Roberto Candela,,29,32,40,31,38,43,20,19,,32
DEN,8656,Henrik Buhl,Morten S. Andersen,FSDK,46,33,23,39,30,37,31,22,,33
GER,8519,Robert Wisolek,Dave Farmer,SCLW,32,43,22,30,20,40,DNC,29,,34
GER,8463,Frieder Achterberg,Arne Lanatowitz,DTYC,39,31,39,OCS,26,26,33,26,,35
GER,8579,Hans-Jürgen Rentelmann,Peter Wackerbauer,BSC,28,40,21,42,42,38,26,28,,36
SUI,8079,Lorenz Nydegger,Martin Nydegger,SCB,33,38,34,35,35,24,35,DNC,,37
GER,8672,Karsten Contag,Guido von Walter,SCLW,37,30,28,DNC,32,25,37,DNC,,38
GER,8744,Lutz Kandzia,Martin Deutscher,ASV,40,35,43,41,34,30,27,32,,39
GER,7661,Christina Höll,Alexander Wilhelm,HSC,36,37,33,37,39,39,34,DNC,,40
POL,8622,Michał Korneszczuk,Krzysztof Krempeć,YKS,41,28,41,DNC,36,36,38,36,,41
GER,8654,Nikolaus Jägersberg,Wolfgang Hiltscher,SCLW,42,34,29,34,44,28,DNC,DNC,,42
GBR,8907,Jim Berry,Richard Berry,CVSC,DNF,DNF,DNC,36,40,27,40,25,,43
FRA,8402,Loïc Bleuez,Roucayrol Frederic,,38,41,45,32,33,DNC,32,DNC,,44
GBR,8435,Patrick McGale,Alex Cull,QMSC,43,46,42,DNC,DNC,DNC,29,34,,45
FRA,8820,Robert Lehmann,Bernard Edel,ACAL,44,44,37,40,45,42,DNC,DNC,,46
GER,8697,Wilfried Stuis,Benjamin Lasnier,YCN,45,45,44,43,43,41,39,DNC,,47
