Country,SailNo,HelmName,CrewName,Club,R1,R2,R3,R4,Total,Nett,Rank
GBR,9215,Roger Gilbert,Ian Mitchell,Frensham Ponds/HISC,[1],1,1,1,4,3,1st
GBR,9085,Charlie Walters,Alex Davies,Datchet Water Sailing Club,2,[3],2,2,9,6,2nd
GBR,9236,Jim Blyth,Darrel Samanjoul,Largo Bay,3,4,3,[10 DNC],20,10,3rd
GBR,9232,Roberto Gullano,Paul Childs,HISC,[10 UFD],2,10 DNC,3,25,15,4th
GBR,8929,Simon Potts,Rob Allen,Burghfield,4,6,[10 DNC],10 DNC,30,20,5th
GBR,9214,Andy Smith,Jonny Mildred,NSC,6,5,[10 DNC],10 DNC,31,21,6th
GBR,8881,Charlie Chandler,Owen Mills,Bartley/Tewkesbury S.C.,5,[10 DNF],10 DNC,10 DNC,35,25,7th
GBR,9104,Chris Turner,Colin Parke,Hayling Island SC,[10 DNC],10 DNC,10 DNC,10 DNF,40,30,8th
GBR,9180,Judith Williamson,Dan Martin,HISC,[10 UFD],10 DNC,10 DNC,10 DNC,40,30,8th
