Nation,Boat no,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Points,Place
FRA,,Bouet,Levesque,SNO,,,,,,0,1
FRA,4206,Dejean,Dejean,CVB,,,,,,14,2
FRA,2,Marque,Lanaverre,CVB,,,,,,22,3
FRA,4430,Martin,Dominguez,SVN,,,,,,22.4,4
FRA,4193,Boissiere,Laclau,CVB,,,,,,28.7,5
FRA,420,Follenfant,Follenfant,CVA,,,,,,49.7,6
FRA,3665,Poumeyrol,Poumeyrol,CVA,,,,,,52,7
FRA,3295,Ducos,Leclercq,SVN,,,,,,56,8
FRA,3083,Michaud,Pouzou,SVN,,,,,,58.7,9
FRA,4213,Negrier,Negrier,CVB,,,,,,62,10
