Nation,Boat NO,Helm,Crew,Club,,Points,Place
FRA,3646,Wastiaux,Bauler,CYVM,,8.7,1
FRA,3715,Philippe Blanchard,Carole Blanchard,ACAL,,9,2
FRA,4342,Simon,Simon,CYVM,,15.7,3
FRA,4341,Nesseler,Nesseler,CYE,,16,4
FRA,4343,Baillet,Berger,CYVM,,17.4,5
FRA,2772,Heymann,Heymann,YCN,,28.7,6
FRA,4375,Schedelin,Fabbri,,,36.7,7
FRA,4022,Hittinger,Hittinger,YCN,,37,8
FRA,3385,Schondorf,Auger,ACAL,,40.4,9
FRA,4026,Rimbert,Laugerotte,YCD,,42,10
FRA,3331,Labrusse,Carnalo,YCD,,47,11
FRA,2311,Bouvier,,YCD,,50,12
