Nation,Boat,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Points,Place
FRA,4390,Levesque,Bapst,S. N. O.,,,,,13,1
FRA,4139,Buffet,Fleury,C V. P.,,,,,14.4,2
FRA,,Bouet,Levesque,S. N. O.,,,,,29.7,3
FRA,3953,Jouanny,Courgeon,C N. M.,,,,,46,4
FRA,3949,Nicolas,Courty,C.V.T.,,,,,47.7,5
