Nation,Boat,Helm,Crew,Club,Race 1,Race 2,Race 3,Points,Place
FRA,,Nesseler,Blanchard ,CVEpinal,,,,8.7,1
FRA,,Blanchard,Blanchard ,A.C.A.L.,,,,10,2
FRA,,Simon,Simon,C.Y.V.M.,,,,16,3
FRA,,Wastiaux,Bauler,C.Y.V.M.,,,,31,4
FRA,,Steiner,Senger,Y.C.Sarrebruck,,,,34.7,5
,,,,,,,,,6
,,,,,,,,,7
,,,,,,,,,8
,,,,,,,,,9
,,,,,,,,,10
,,,,,,,,,11
,,,,,,,,,12
,,,,,,,,,13
,,,,,,,,,14
,,,,,,,,,15
