Nation,Boat NO,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Points,Place
FRA,3715,Philippe Blanchard,Carole Blanchard,ACAL,,,,,3,1
FRA,2772,Haymann,Heymann,YCN,,,,,3,2
FRA,4022,Graesel,Hittinger,YCN,,,,,16.7,3
FRA,3701,Jacob,Glimm,YCSarrebruck,,,,,21.4,4
FRA,3350,Mehs,Molz,YCSarrebruck,,,,,23.7,5
FRA,3385,Schondorf,Auger,ACAL,,,,,31.7,6
FRA,4140,Schultz,Schultz,YCN,,,,,32.7,7
