Sail Number,Helm,Crew,Boat Name,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,Club,Points,
USA 9106,Mike Martin,Adam Lowry,Mike's Boat,1,1,5*,1,1,1,1,2*,1,1,1,StFYC,9,1
USA 9160,Howard Hamlin,Andy Zinn,Hull Pass,8*,3,6*,2,5,3,3,4,3,2,4,ABYC/NHYC,29,2
USA 9091,Ted Conrads,Jeffrey Nelson,Donner Lake,7*,10*,2,7,3,2,7,1,2,5,2,,31,3
USA 8714,Jesse Kirkland,Reeve Dunne,Exponent,2,6,1,8*,4,6,4,3,9*,4,5,RBYC,35,4
USA 8970,Parker Shinn,Eric Anderson,N = 1,5,5,9*,5,2,4,2,6,5,10*,3,StFYC/YCYC,37,5
USA 8854,Craig Thompson,Matthew Woodworth,Thompson Boat Works,6,7*,3,6,6,7,5,5,6,3,14*,,47,6
CAN 9009,Bob Tennant,Steve Bourdow,RVic YC,3,4,DNF 25*,3,10*,9,8,9,7,6,10,,59,7
USA 9082,Jeff Miller,Pat Diola,Miracle,14*,8,4,9,8,5,6,7,12*,9,8,Santa CruzYC,64,8
USA 9095,Macy Nelson,Russell Miller,Highway 95 Revisited,15*,14*,7,12,9,8,9,10,14,7,9,West River Sailing Club,85,9
USA 9202,Mike Holt,Carl Smit,IO Integration,4,2,OCS 25*,4,7,DNF 25*,13,8,8,16,RET 25,Santa Cruz YC,87,10
GBR 9088,Andy Smith,Rob Woelfel,"Don't worry,she's borrowed…",16,9,8,DNC 25*,DNC 25*,10,14,DNF 25,4,8,7,Big Bucks Andy Smith,101,11
USA 9007,Matthew Barry,Chris Schubert,License to Kill,TLE-20*,DNF 25*,TLE-14,10,13,12,10,11,13,12,11,American Yacht Club,106,12
USA 8762,Tom Crawford,,FB Incognito,13,15,TLE-14,15,12,11,11,DNS 25*,11,17*,13,cyc,115,13
USA 8937,Tim Murphy,,Treasure Island Sailing Center,11,16,12,DNC 25*,14,14,12,12,18*,15,16,,122,14
USA 8931,Daniel Esdorn,Ashley Lyon,St FYC,9,13,TLE-14,14,11,DNC 25*,DNC 25,DNC 25*,16,13,12,,127,15
USA 8753,Ryan Nelson,Will Lowe,Rogue One,17,17,11,16,15,13,DNF 25*,DNC 25*,15,14,15,Encinal Yacht Club,133,16
USA 8680,Evan Diola,Mark Voropayev,Dog N' Pony,TLE-20,TLE-20,TLE-14,TLE-18,TLE-18,16,DNF 25*,DNF 25*,19,18,17,SCYC,160,17
USA 8084,Aaron Ross,Rob Waterman,Rob's Olde Boat,12,11,DNF 25*,11,16,15,DNF 25,DNC 25*,DNC 25,DNC 25,DNC 25,Santa Cruz Yacht Club,165,18
USA 9042,JB Turney,Fraser Novakowski,Stimulus Package,10,12,10,13,DNF 25*,DNC 25*,DNC 25,DNC 25,DNC 25,DNC 25,DNC 25,StFYC,170,19
USA 897,Blaine Pedlow,David Meleney,Llama Drama,TLE-20,DNC 25,DNF 25*,DNC 25,DNF 25*,DNC 25,DNC 25,DNC 25,10,11,6,StFYC,172,20
USA 7877,Steve Anderes,Mike Jue,Spiff rides again,18,18,DNF 25*,TLE-18,DNC 25*,DNC 25,DNC 25,DNC 25,17,19,RET 25,SSS,190,21
USA 9027,Hubert Guy,Will Johnson,abyc,DNC 25*,DNC 25,DNF 25*,TLE-18,DNC 25,TLE-19,DNF 25,DNC 25,DNC 25,DNC 25,DNC 25,,212,22
AUS 8853,Evert Meyer,Matt,RPAYC,DNC 25*,DNC 25*,DNF 25,DNC 25,DNC 25,17,DNF 25,DNC 25,DNC 25,DNS 25,DNC 25,,217,23
USA 7200,Alexander Meller,Mike Coe,Time is on My Side/Un Canadien Errant,DNC 25*,DNC 25*,DNF 25,DNC 25,DNC 25,DNC 25,DNC 25,DNC 25,DNC 25,DNC 25,DNC 25,Severn Sailing Association,225,24
