Sail,Helm,Crew,Club,R1,R2,R3,R4,R5,R6,R7,Brutto,Netto,Place
FIN 8927,Kaj Lindfors,Johan Halonen,ASS,1,1,1,1,(4),2,1,11,7,1
FIN 9069,Rosemarie Hartman,Tuomas Laurila,EMK,(3),2,2,2,1,1,3,14,11,2
FIN 8678,Tatu Miettinen,Ville Tarvo,LPS,2,(5),3,3,2,3,2,20,15,3
FIN 9212,Thomas Held,Juha Nurmela,BSS,4,(6),5,4,3,5,6,33,27,4
FIN 7922,Olle Martonen,Mikael Nylund,WSF,5,3,7,6,(8),4,5,38,30,5
FIN 8352,Kari Lehtonen,Timo Vennonen,HSK,(8),8,4,7,6,6,4,43,35,6
FIN 8053,Petri Ebeling,Jukka Suonpää,HSK,6,4,(8),5,7,7,7,44,36,7
FIN 8466,Hannu Pöyry,Matti Dillemuth,VVK,7,7,6,8,5,8,(9)DNC,50,41,8
