Sail,Number,Helm,Crew,Club,R1,R2,R3,R4,R5,R6,T,N,Nr
FIN,8927,Kaj Lindfors,Johan Halonen,ASS,-1,1,1,1,1,1,5,6,1
FIN,8678,Tatu Miettinen,Ville Tarvo,LPS,2,2,(8 DNS),2,2,2,10,18,2
FIN,9069,Tuomas Laurila,Thomas Jouanny,EMK,4,(8 DNF),2,3,4,5,18,26,3
FIN,8053,Petri Ebeling,Juhani Heimsch,HSK,3,(8 DNF),8DNS,4,3,3,21,29,4
FIN,8352,Kari Lehtonen,Timo Vennonen,HSK,(8 DNF),8DNS,8DNS,5,5,4,30,38,5
FIN,7784,Thomas Held,Juha Nurmela,BSS,(8 DNF),8DNS,8DNS,8DNS,8DNS,8DNS,40,48,6
FIN,8466,Hannu Pöyry,Ari Dillemuth,VVK,(8 DNC),8DNC,8DNC,8DNS,8DNS,8DNS,40,48,6
