Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Boat Name,Points Total,Points Netto,Place
GER,8002,Harald Busch,,,2,2,2,2,,,12,1
GER,7589,Adalbert Kluck,,,6,4,1,1,,,"19,7",2
SUI,7975,Urs Scherrer,,,1,3,5,3,,,"21,4",3
GER,7860,Christof Becker,,,4,1,4,5,,,26,4
GER,8032,Jörn Erdmann,,,3,5,3,4,,,"29,4",5
GER,7955,Gunter Froese,,,5,12,6,7,,,"52,7",6
GER,7781,Andreas Thomsen,,,9,6,8,10,,,"56,7",7
GER,7785,Stefan Pavel,,,10,9,11,8,,,62,8
GER,7462,Dieter Cordes,,,12,8,16,6,,,"65,7",9
GER,7451,Ewald Brzoska,,,11,17,13,11,,,76,10
GER,7732,Dirk Kuhnhenn,,,15,14,12,13,,,78,11
GER,7584,Bernd Kowalzig,,,8,7,RET,9,,,82,12
GER,7957,Ralf-Joachim Stoll,,,7,16,10,DNC,,,91,13
GER,6681,Hartwig Friederichs,,,23,19,14,12,,,92,14
GER,7431,M. Stockbroexks,,,19,10,7,DNS,,,94,15
GER,7354,Harald Wolff,,,17,11,9,RET,,,95,16
GER,7927,Brigitte Preuss,,,14,15,21,DNC,,,108,17
FRA,8000,Marcel Buffet,,,29,13,15,RET,,,115,18
GER,7745,Rudolf Baalmann,,,18,22,19,DNC,,,117,19
GER,6770,Karl-Heinz Hilgers,,,22,20,18,DNS,,,118,20
GER,7893,Axel Lenderoth,,,16,18,27,RET,,,119,21
GER,7971,Stefan Schollmayer,,,21,21,23,RET,,,123,22
DEN,8*,T. Kramer,,,20,28,24,DNC,,,130,23
GBR,7979,A. Gorremans,,,28,23,22,DNS,,,131,24
GER,7550,André Zander,,,25,RET,17,RET,,,134,25
GER,7649,Matthias Kuchinke,,,27,25,25,DNC,,,135,26
GER,7817,Bernd Meier,,,26,RET,20,DNC,,,138,27
NED,7676,B. Vaes,,,30,24,26,DNC,,,138,28
GER,7693,Heiner Lienke,,,13,RET,DNC,DNC,,,139,29
GER,7159,Jürgen Feuerhake,,,31,27,28,DNC,,,144,30
GER,8054,Juergen Trommholz,,,24,RET,RET,DNC,,,150,31
BEL,6449,H.J.Chapel,,,32,26,RET,DNS,,,150,32
GBR,7915,P. Westerhof,,,RET,DNC,DNC,DNC,,,160,33
