Nation,Sail #,Skipper,Crew,Results,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Total,Place
USA,8643,Barney Harris,Jesse Falsone,,1,1,3,[3],1,1,2,9,1
USA,8191,Macy Nelson,Peter Alarie,,3,[4],2,1,2,2,1,11,2
USA,8018,Ethan Bixby,Scott Ikle,,2,2,1,2,3,3,[3],13,3
USA,8263,Ali Meller,Dennis Burroughs,,4,3,8,8,[9],4,4,31,4
USA,8085,Rene de La Rie,Allan Freedman,,6,5,4,6,5,[7],6,32,5
USA,7346,Latane Montague,Andy Cheney/Dustin Romey,,5,6,5,5,6,5,[8],32,6
GBR,8635,Martin Wedge,Simon J. Lake,,9,[11],7,4,4,8,7,39,7
USA,8024,David Chatham,Sol Marini,,11,10,[13],9,8,6,5,49,8
USA,6985,Dylan Breton,Mike Breton,,7,7,6,[13],11,11,11,53,9
USA,7879,Clayton James,Les Crane,,8,[12],10,11,7,9,10,55,10
USA,8610,W. Mason,Eric Knight,,15,8,9,7,[16],12,12,63,11
USA,7678,Doug Weatherby,Chris Gorton,,13,[13],11,12,10,10,9,65,12
USA,7061,Jason Breedon,Angela Breedon,,10,9,12,10,12,16,[16],69,13
USA,4565,Andrew Cole,Allan Brown,,12,14,14,16,16,16,[16],88,14
USA,8645,Fred Liesegang,Dave Anderson,,14,15,15,16,16,16,[16],92,15
