Nation,Sail #,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Total w/ Drop,Points,Place
USA,8083,Neal Fowler,Dave Dyson,,2,2,[3],1,1,2,11,8,1
USA,8643,Barney Harris,Jesse Falsone,,4,1,1,[4],3,1,14,10,2
USA,8627,Tim Collins,Bill Smith,,1,[4],2,2,2,3,14,10,3
USA,8722,Macy Nelson,Art Gleason,,3,3,6,[8],6,5,31,23,4
USA,8194,Thomas Kivney,Wolfgang Chamberlain,,5,5,5,3,5,[6],29,23,5
USA,8013,Dave Smith,Rick Thompson,,[7],7,4,5,4,4,31,24,6
USA,8085,Rene Delarie,Les Crane,,6,6,7,6,7,[8],40,32,7
CAN,8233,François Bertrand,Molimard,,9,8,8,[13],9,11,58,45,8
USA,8689,Ward Cromwell,Alex Ross,,[10],9,9,9,8,10,55,45,9
USA,7068,Russell Robinson,Tom Hurwitch,,12,10,[DNF],7,10,7,62,46,10
USA,9*,Andrew Crocker,Chris Tackas,,8,11,[DNS],12,11,9,67,51,11
USA,7839,Ted Ferrarone,J.B. Ferrarone,,11,DNF,[DNS],11,14,12,96,64,12
USA,7876,Steve Lieberman,Josh Lieberman,,13,12,10,15,15,[DNS],81,65,13
USA,7604,Chad Atkins,Local,,[DNS],DNS,DNS,10,13,13,84,68,14
USA,8311,Chris Yindra,John Doe,,[DNS],DNF,DNS,14,12,DNS,90,74,15
