Nation,Sail No,Halm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Points,Pos.
USA,8771,Howard Hamlin,Mike Martin,ABYC,1,1,-3,2,1,1,6,1
USA,7201,Dan Thompson,Andy Zinn,NHYC,-4,2,1,1,2,2,8,2
USA,7771,Andy Beeckman,Ben Benjamin,NHYC,2,3,-4,4,3,3,15,3
USA,8084,Rob Waterman,,ABYC,3,-4,2,3,4,4,16,4
USA,6931,Shea Thorvaldsen,,NAVY,5,5,5,5,-6,6,26,5
