Nation,Boat #,Skipper,Crew,,Race #1,Race #2,Race #3,Total,Place
USA,6983,Eric Willis,Wendy Herzberg,,1,2,2,5,1
USA,7069,David Byron,Peter Winter,,3,1,1,5,1
USA,7156,Douglas Hagan,Kirk Wilson,,4,3,3,10,3
USA,7300,Craig Collins,Ken Richards,,2,4,4,10,3
USA,6665,Reese Jones,Tim Boschert,,6,5,6,17,5
USA,5281,Dominck Marchall,Hayes Raffle,,7,6,5,18,6
USA,7611,Craig Perez,Ed Neuman,,5,DNF/8,DNF/8,21,7
