Nation,Sail #,Skipper,Crew,Hometown,Race 1,2,3,4,5,6,7,Total,w/Drop,Poistion
USA,8083,Neal Fowler,Dave Dyson,"Hyannis,MA",1*,1*,1,1,1,1,1,6,5,1
USA,8627,Tim Collins,Mike Welch,Bristol,2*,2,2,3,2,2,4*,13,11,2
USA,8194,Thomas Kivney,Wolfgang Chamberlain,Bristol,3*,3,3,2,4*,3,3,18,14,3
USA,8311,Chris Yindra,Mark McCarthy,Vermont,4,4,5*,4,5*,4,2,26,18,4
USA,8013,Barry Kuehl,Matt Sovis,"Hamden,CT",5*,5*,4,5,3,5,5,27,22,5
USA,8085,Fred Liesegang,Dave Anderson,Long Island,6,6,7*,7*,7,7,7,40,33,6
