Country,Sail NO,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Points,Place
USA,,Jim Wondolleck,Jay Kuncl,,1,1,1,4,1,1,9,1
USA,6983,Eric Willis,Wendy Herzberg,,4,3,3,5,"3,5",4,"23,5",2
USA,,Terry Nuff,Bobby Noise,,2,2,10,2,2,6,24,3
USA,7156,Douglas Hagan,Kirk Wilson,,5,7,2,3,5,2,24,3
USA,,Pascal Bruyere,Chi,,6,6,4,7,6,7,36,5
USA,7611,Kevin,Craig Perez,,3,10,10,6,"3,5",5,"37,5",6
USA,,Bailey,Reese Jones,,10,4,5,8,7,10,44,7
USA,8680,Bruce Edwards,David Byron,,10,10,10,1,10,3,44,7
USA,7877,Bruce Fleming,Steve Anderes,,10,5,10,10,10,10,55,9
