Nation,Sail No,Skipper,Crew,From,Race 1 17-Nov,Race 2 17-Nov,Race 3 29-Feb,Race 4 29-Feb,Race 5 29-Feb,Race 6 1-Mar,Race 7 1-Mar,Race 8 1-Mar,Race 9 21-Mar,Race 10 21-Mar,Boat Name (Boat Type),Drop,Total,Plc
AUS,9191,Mal Higgins,Angus Higgins,BSYC SA,3,3,1,1,1,1,1,1,1,1,Whiskey Tango Foxtrot,6,8,1
AUS,9209,Alexandra South,Marcus Cooper,HSC SA,4,6,2,2,2,2,2,2,DNC (17.00),DNC (17.00),Cherylander,34,22,2
AUS,9223,Damian Carey,David Ottaway,HSC SA,6,RET (15.00),3,3,5,4,3,4,2,2,Binary Black Hole,21,26,3
AUS,8589,Brooke Jones,Brian Jones,BSYC SA,9,8,9,5,3,3,6,3,3,4,Ross Island,18,35,4
AUS,9022,Ian Burford,Dave Christie,BSYC SA,7,5,5,4,4,7,4,5,DNC (17.00),DNC (17.00),Hit The Jackpot,34,41,5
AUS,8839,Robin Cross,Matt Sanderson,BSYC SA,10,7,10,9,7,8,5,7,DNF (7.00),DNF (7.00),Plan B,20,57,6
AUS,8891,Sarah Cooper,Amy How,HSC SA,DNC (17.00),DNC (17.00),11,10,8,9,7,DNS (10.00),5,DNS (7.00),The Surly Mermaid,34,67,7
AUS,8890,Martin Pyke,David Clayton,BSYC SA,12,RET (15.00),6,8,9,6,9,6,DNC (17.00),DNC (17.00),Groove Train,34,71,8
AUS,8797,Alex Higgins,Tom Alder,BSYC SA,8,RET (15.00),4,DNF (12.00),DNF (12.00),DNC (17.00),DNC (17.00),DNC (17.00),4,3,Bolt,34,75,9
AUS,8602,Kym Campion,Charlie Longbottom,PVSC SA,DNC (17.00),DNC (17.00),8,6,6,5,8,DNS (10.00),DNC (17.00),DNC (17.00),Makybe Diva,34,77,10
AUS,8036,Ian Dewey,Bernard Goble,HSC SA,DNF (15.00),9,7,7,10,DNC (17.00),DNC (17.00),DNC (17.00),DNC (17.00),DNC (17.00),Destiny,34,99,11
AUS,8946,Sandy Higgins,Paul Marsh,BSYC SA,1,1,DNC (17.00),DNC (17.00),DNC (17.00),DNC (17.00),DNC (17.00),DNC (17.00),DNC (17.00),DNC (17.00),Hawaii Five O,34,104,12
AUS,9194,Robby Duessen,David Snoad,BSYC SA,2,2,DNC (17.00),DNC (17.00),DNC (17.00),DNC (17.00),DNC (17.00),DNC (17.00),DNC (17.00),DNC (17.00),Frankenstein's Monster,34,106,13
AUS,8886,Ben Schulz,Brett Littledike,BSYC SA,13,4,DNC (17.00),DNC (17.00),DNC (17.00),DNC (17.00),DNC (17.00),DNC (17.00),DNC (17.00),DNC (17.00),Thunderstruck,34,119,14
AUS,8957,Peter Woolman,Phil Scapens,BSYC SA,5,RET (15.00),DNC (17.00),DNC (17.00),DNC (17.00),DNC (17.00),DNC (17.00),DNC (17.00),DNC (17.00),DNC (17.00),More Noodles,34,122,15
AUS,8512,Martin Smith,Sam Byass,HSC SA,11,10,DNC (17.00),DNC (17.00),DNC (17.00),DNC (17.00),DNC (17.00),DNC (17.00),DNC (17.00),DNC (17.00),Cheap Thrills,34,123,16
