Nation,Boat no,Coureurs / Équipage,,club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Crew Club,points,place
FRA,,Loyal Bertrand,Nevo Laurent,S R ROCHELAISES,1,2,2,4,6,1,3,S R ROCHELAISES,13,1
FRA,8870,Silvestre Christian,Auberger Nicolas,CVSQ,5,4,7,2,2,3,1,YC Grenoble Chara.,17,2
FRA,8683,Lafortune Antoine,Lafortune Geraud,C V SEINE-PORT,3,1,1,1,4,DNF,9,C V SEINE-PORT,19,3
FRA,,Martin Nicolas,Letissier Julien,C V SEINE-PORT,19,15,4,3,1,2,2,CVSQ,27,4
FRA,,Boyer Etienne,Boyer Emmanuel,C V BORDEAUX C M,4,3,6,10,8,6,4,C V BORDEAUX C M,31,5
FRA,,Di Pede Thibault,Toupet Fabrice,C V SEINE-PORT,6,8,5,11,5,5,7,CVSQ,36,6
FRA,9024,Gachet Claude,Valery Kleber,YC Grenoble Chara.,13,10,3,12,3,4,10,YC Grenoble Chara.,42,7
FRA,8948,Guillou Nicolas,Ferec Alain,S N P H,2,6,11,9,10,8,18,S N P H,46,8
FRA,,Martin Aline,Lafortune Chloe,C V SEINE-PORT,12,14,9,8,12,7,5,C V SEINE-PORT,53,9
FRA,,Doerenbecher Francis,Wolff Philippe,C N DE SCIEZ,16,7,8,6,15,11,6,A O G STRASBOURG,53,10
FRA,,Ronnback Robert,Lafortune Jordane,FIN,10,9,10,7,9,10,15,C V SEINE-PORT,55,11
FRA,,De Lisle Francois,Brillaud Herve,C N FERRET,11,5,15,13,7,12,20,C N FERRET,63,12
FRA,8695,Puissant Jean-Guy,Le Guen Bernard,CV LAC 3 PROVINCES,8,13,16,14,11,15,8,C.V. Joué-lès-Tours,69,13
FRA,,Viaud Pascal,Bouton Fabrice,S R ROCHELAISES,7,16,14,5,20,9,21,S R ROCHELAISES,71,14
FRA,8847,Jeanne Muriel,Agrapart Franck,C N HAUTE SEINE,17,12,19,OCS,17,13,11,C N HAUTE SEINE,89,15
FRA,8687,Hermieu Jean Philippe,Simonnot Christian,CN Sainte-Maxime,14,11,13,19,18,14,19,Y C TOULON,89,16
FRA,,Muh Pierre,Keraudren Dominique,C V SEINE-PORT,18,19,12,17,14,16,13,C V SEINE-PORT,90,17
FRA,8980,Boiry Michel,Karadjian Alain,C N ANTIBES,9,17,23,16,19,19,14,CVSQ,94,18
FRA,,Dumas Bruno,David Michel,C V HOURTIN MEDOC,23,18,20,18,21,22,12,C V ARCACHON,111,19
BEL,,Philippe Vandersteen,Gennart Genevieve,,DNF,DNS,21,21,13,17,17,F,118,20
FRA,,Daguzan Thierry,Poirier Arnaud,S R ROCHELAISES,15,20,24,15,25,21,24,EV ROCHELAISE,119,21
FRA,,Coulmin Pierre-Jerome,Peter Vincent,WIND 14,21,DNF,18,20,22,18,22,WIND 14,121,22
FRA,,Dechauffour Jacques,Dechauffour Sabine,S N O NANTES,DNF,DNF,17,22,16,20,25,S N O NANTES,129,23
FRA,,Leroy Philippe,Guitteny Marc-Henri,S N O NANTES,20,21,22,26,23,24,23,C N PIRIAC S/MER,133,24
FRA,,Dechauffour Valentin,Gendry Pierre,S N O NANTES,25,DNF,25,23,26,23,16,S N O NANTES,138,25
FRA,,Kopka Eric,Renoux Alain,C V ANGOULEME,22,22,26,24,24,25,DNF,C V ANGOULEME,143,26
FRA,,Bradfer Philippe,Bradfer Pierre,C Y V PARELOUP,24,23,27,25,27,26,26,C Y V PARELOUP,151,27
FRA,,De Monteil David,De Monteil Thibault,YC Grenoble Chara.,DNF,DNF,DNF,DNF,DNF,DNF,DNF,YC Grenoble Chara.,174,DNA
