Nation,Ident,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,,Total,P tot,Rgs
FRA,8902,Philippe Boite,Fabrice Toupet,C V ST QUENTIN,36 DNF*,1,1,2,1,13*,1,C V ST QUENTIN,55,6,1
FRA,8954,Florian Stauffer,Philippe Jacot,SUISSE,1,2,2,36 OCS*,2,1,5*,,49,8,2
FRA,8870,Christian Silvestre,Nicolas Auberger,C V ST QUENTIN,6*,4,5,3,6*,3,2,Y C Grenoble Chara,29,17,3
FRA,8683,Antoine Lafortune,Geraud Lafortune,C V SEINE-PORT,3,3,3,12*,4,7*,4,C V SEINE-PORT,36,17,4
FRA,8844,Xavier Broise,Stanislas Rault,CERGY VOILE 95,2,6,36 DNF*,1,5,5,9*,C.V.M.L,64,19,5
FRA,8752,Nicolas Martin,Julien Lafortune,C V SEINE-PORT,5,28*,8,13*,3,2,3,C V SEINE-PORT,62,21,6
FRA,8820,Serge Gubri,Thibault Di Pede,C V SEINE-PORT,4,18*,6,5,7*,6,6,C V SEINE-PORT,52,27,7
FRA,7941,Veronique Brenet,Jean-Pierre Peter,AC ALSACE LORRAINE,7,27*,4,7,8,9,10*,AC ALSACE LORRAINE,72,35,8
FRA,8896,Christian Martenot,Chloe Lafortune,C V SEINE-PORT,9,13*,23*,4,12,4,8,C V SEINE-PORT,73,37,9
FRA,8899,François de Lisle,Herve Brillaud,C N FERRET,8,7,9,16*,11,14*,11,C N FERRET,76,46,10
FRA,887,Aline Martin,Loic Brillaud,C V SEINE-PORT,11,21*,18*,6,16,8,13,C N FERRET,93,54,11
FRA,8847,Muriel Jeanne,Franck Agrapart,C N HAUTE SEINE,36 DNF*,16,7,11,9,12,18*,C N HAUTE SEINE,109,55,12
BEL,8880,Geert de Pauwn,Koen Jourquin,BELGIQUE,13,10,16*,10,17*,11,15,,92,59,13
FRA,8948,Nicolas Guillou,Alain Ferec,S N P H,12,5,15,15,29*,17,19*,S N P H,112,64,14
FRA,8898,Pierre Muh,Dominique Keraudren,C V SEINE-PORT,22*,14,10,18,15,16,20*,C V SEINE-PORT,115,73,15
FRA,8*,Frederic Monnier,Yann Plathier,Y C Grenoble Chara,10,12,25*,19,22*,21,12,S A LYONNAIS,121,74,16
FRA,8742,Fréderic Decocq,Gilles Bernon,SNEH,36*,36*,36,9,14,10,7,,148,76,17
FRA,8969,Philippe Vandersteen,Jean Pierre Noclain,BELGIQUE,23*,8,19,22,13,24*,17,C V VALENCIENNES,126,79,18
FRA,8711,Eric Quemard,Jerome Legeai,C .V. de PARIS,19,29*,14,21,10,19,31*,C .V. de PARIS,143,83,19
FRA,7940,Francis Doerenbecher,Philippe Wolff,C N DE SCIEZ,16,36 DNF*,27,8,28*,15,22,AC ALSACE LORRAINE,152,88,20
FRA,8761,Marc Riot,Geoffroy Riot,C N HAUTE SEINE,14,19,13,23*,20,22,28*,C N HAUTE SEINE,139,88,21
FRA,9010,Bastian le Morvan,Gilles Carvallo,ASPTT TROYES,18,15,12,25,26*,29*,23,C N HAUTE SEINE,148,93,22
FRA,9031,Philippe Lucienne,Vivien Lucienne,C N C ST OUEN,36 DNF*,20,11,36 DNS*,31,20,14,C N C ST OUEN,168,96,23
FRA,8623,Matthieu Gougeon,Dominique Rouanne,C V ST QUENTIN,20,9,17,28,24,30*,30*,Y C CAVALAIRE,158,98,24
FRA,8980,Michel Boiry,Florian Lemorvan,C .V. de PARIS,15,31*,24,14,25,31*,21,ASPTT TROYES,161,99,25
FRA,8699,Marc Vibert,Dominique Paci,C.V.M.L,17,17,22,20,32*,26*,26,C.V.M.L,160,102,26
FRA,8640,Thomas Chartier,Jean-Baptiste Kopecky,C Y V PARELOUP,29*,11,29*,26,23,27,16,LE TRISKELL,161,103,27
FRA,8294,Philippe Barbier,Guillaume Barbier,C N C ST OUEN,24,30*,20,24,19,18,35*,C N C ST OUEN,170,105,28
FRA,8509,Julien Letissier,Jordane Lafortune,C V ST QUENTIN,27*,23,21,17,27,23,29*,C V SEINE-PORT,167,111,29
FRA,8567,Pierre-Jerome Coulmin,Vincent Peter,WIND 14,26,26,26,30*,18,28*,25,WIND 14,179,121,30
FRA,8400,Emmanuel Mouclier,Mathieu Bataille,C.V.M.L,30,22,28,31,21,32*,32*,SELLOR NAUTISME,196,132,31
FRA,8688,Bernard Blondy,Roger Chabaud,C V VALENCIENNES,21,25,36 DNF*,32,33*,33,24,C V VALENCIENNES,204,135,32
FRA,8704,Elisabeth Neidhart,Bertrand Lapeyre,C.V.M.L,25,32*,30*,29,30,25,27,C.V.M.L,198,136,33
FRA,8748,Samuel Carvallo,Sebastien Rauly,C N HAUTE SEINE,28,24,31,27,34*,35*,34,C N HAUTE SEINE,213,144,34
FRA,8564,Bertrand Cosson,Jean-Paul Lozouet,C.V.M.L,4,36 DNF*,36 DNS,33,35*,34,33,C .V. de PARIS,243,171,35
