Nation,Hull #,Skipper,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Race10,Race 11,Race 12,Total Pts,Net Points,Rank
USA,8831,Pierre Jeangirard,Paul Von Grey,,1,1,3,2,1,3*,1,1,1,2,3,1,20,17,1
USA,8829,Krysia Pohl,Jon Henderson,,2,2,1,1,3,2,17 DNC*,2,3,3,2,3,41,24,2
CAN,8192,Robin Brown,Phil Cragg,,3,4,5,4,2,1,3,6*,4,1,1,2,36,30,3
CAN,8866,Cynthia Des Brisay,Charles Hansen,,5,3,2,3,8,9*,4,4,2,4,5,5,54,45,4
CAN,8755,Brian Trainor,Evan Jennings,,9,6,6,5,17 DNC*,10,2,3,5,5,7,9,84,67,5
,8453,Terry Thomas,Tom Burnard,,7,8,7,17 DNF*,6,4,7,5,8,6,4,7,86,69,6
USA,8868,Piper Dunlap,Dan Ginther,,8,7,4,8,4,11*,10,8,6,8,9,6,89,78,7
CAN,7353,Andiry Kanyuka,Ian Plumbley,,4,5,8,7,7,6,6,17 DNF*,17 RET,12,6,4,99,82,8
USA,6808,Eric Coburn,Sugar Flanagan,,6,10,11,6,5,5,5,17 DNF*,11,9,12,11,108,91,9
CAN,8068,Adam Gooderham,Alec Francis,,17 DNC*,11,9,9,10,8,9,17 DNF,7,7,8,8,120,103,10
USA,7206,Anne Fitzpatric,Chris Pittack,,10,9,12,10,17 DNC,12,13,7,17 DNC,14,11,10,142,125,11
GBR,8435,Simon Miles,Sean Rankins,,17 DNC*,17 DNC,17 DNC,17 DNC,9,7,8,10,9,11,10,13,145,128,12
,7111,Dave Phillips,Mark Phillips,,11,12,10,11,11,13,12,17 DNC*,10,10,17 DNF,12,146,129,13
,6203,Aiden Wood,John Lavery,,17 DNC*,17 DNC,17 DNC,17 DNC,12,17 DNF,11,9,12,13,13,17 DNC,172,155,14
,6380,Sam Swan,Mike Davis,,17 DNC*,17 DNC,17 DNC,17 DNC,17 DNC,14,14,11,17 DNF,17 DNC,17 DNC,17 DNC,192,175,15
GBR,8245,Patrick McGale,Jim Fergusson,,12,17 DNF*,17 DNC,17 DNC,17 DNC,17 DNF,17 DNF,17 DNC,17 DNC,17 DNC,17 DNC,17 DNC,199,182,16
