CAN,Sail #,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Boat Name,Total,Net,Rank
CAN,8645,Marg Hurley,Christian Dechamplain,NSC,1,1,1,[3],3,3,[4],1,1,Green with Envy,18,11,1st
CAN,8600,Marie Gendron,Stéphane Poirier-Defoy,NSC,2,2,2,2,2,1,1,[3],[3],,18,12,2nd
CAN,8696,Debbie Ashby,Dave Adams,NSC,[8 DNC],4,3,[8 DNC],8 DNC,2,3,2,2,Loose Unit,40,24,3rd
CAN,8735,Brent Beninger,Ross Ernst,NSC,3,3,[5],[4],4,4,2,4,4,Spaghetti Factory,33,24,4th
CAN,8410,Clarissa Bush,Chris Gillies,NSC,[8 DNC],[8 DNC],4,1,1,8 DNC,8 DNC,8 DNC,8 DNC,Bander Snatch,54,38,5th
CAN,8260,Shona Moss Lovshin,Devlin/Kyber Lovshin,GRYC,4,5,6,5,5,[8 DNC],[8 DNC],8 DNC,5,,54,38,6th
CAN,8368,Jim Dingle,Leszek Nowozielski,NSC,5,6,7,6,[8 DNC],[8 DNC],8 DNC,8 DNC,8 DNC,Sausron V,64,48,7th
