Nation,Sail#,Helmsman,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,TotPts,Pos
USA,8263,Ali Meller,Allan Johnson,WRSC,2,1,1,1,1,6,1
USA,8191,Macy Nelson,Fry John,WRSC,3,3,3,2,4,15,2
USA,7318,Mike Zani,Peter Alarie,,1,2,2,14DNF,3,22,3
USA,8643,Barney Harris,Jesse Falsone,WRSC,6,5,4,5,5,25,4
USA,7092,Ken Elliott,Mark Wheeler,HYC,5,4,6,6,6,27,5
USA,8645,Jim Englert,Thad Melton,HYC,4,7,5,4,14DNF,34,6
USA,8660,Gary Bodie,Kevin Eley,,14DNC,14DNC,14DNC,3,2,47,7
USA,8015,Jonathan Philips,Monty Schumpert,WRSC,8,6,14DNF,7,14DNF,49,8
USA,7776,Bob O'Brien,Betsy O'Brien,SSA,7,14DNC,14DNC,14DNC,14DNC,63,9
USA,8351,Tom Price,Rob Wilson/Doug Loup,SSA,14DNF,14DNC,14DNC,14DNC,14DNC,70,10T
USA,7573,Steven Brown,Allan Freedman,WRSC,14DNF,14DNF,14DNC,14DNC,14DNC,70,10T
USA,7569,Bob Robinson,Koslowski,WRSC,14DNF,14DNC,14DNC,14DNC,14DNC,70,10T
USA,8058,Mark Freedman,Phillipe Goubalt,WRSC,14DNC,14DNC,14DNC,14DNS,14DNC,70,10T
