Nation,Boat No,Helm,Crew,,West RiverSpring,Hampton Trapeze,West River Regional,Fishing Bay,West River MidAtlantics,Karl Miller,Total Points,Points,Place
USA,,Meller,Johnson/ Stewart/Hartmann,,1,1,2,6,2,1,13,5,1
USA,8645,Englert,Melton,,5,2,1,1,1,6,16,5,2
USA,,Nelson,Mills/Nelson,,2,8,5,6,3,2,26,12,3
USA,8012,H. Amthor,D. Amthor,,10,3,3,2,12,11,41,18,4
USA,,Elliott,Wheeler/Kilgore,,4,5,7,5,12,11,44,21,5T
USA,6985,D. Breton,M. Breton,,10,8,7,6,4,4,39,21,5T
USA,8643,Harris,Falsone,,3,6,7,6,7,10,39,22,7
USA,8015,Phillips,Schumpert,,7,8,4,6,6,8,39,23,8
USA,,Abramson,O'Toole,,10,8,7,6,5,5,41,23,9
USA,8660,Bodie,Eley,,6,4,7,6,12,11,46,23,10
USA,,Price,?,,9,8,7,6,8,3,41,24,11
USA,,O'Brien,O'Brien/Gross,,8,8,7,4,9,9,45,27,12
USA,,Mignerey,?,,10,8,7,6,10,7,48,28,13
USA,8631,Cox,Smit,,10,8,7,3,12,11,51,28,14
USA,,Brown,?,,9,7,7,6,11,11,51,29,15
USA,,M. Freedman,Phillips Goubalt,,9,8,7,6,12,11,53,30,16T
USA,7346,L. Montague,R. Montague,,10,8,6,6,12,11,53,30,16T
