Country,Sail No.,Skipper,Crew,CLUB,Race 1,Race 2,Race 3,Race 4,Race 5,Total,Pos
USA,8266,Howard Hamlin,Mike Martin,,1,2,2,2,1,8,1
USA,7875,Jeff Miller,Bruce Heckman,,5,1,3,1,2,12,2
USA,7349,Mike Holt,Jay Kuncl,,2,4,1,3,3,13,3
USA,7096,Bryan Largay,Matt Sanders,,3,3,6,9,5,26,4
USA,6992,Danny Thompson,Uli Coblenz,,4,5,4,4,9,26,5
USA,8554,Bruce Edwards,Steve Bartz,,8,6,5,6,4,29,6
USA,8084,Thad Lieb,Rob Waterman,,9,1,8,5,6,38,7
CAN,7039,Robin Brown,Richard,,6,7,10,7,10,40,8
USA,8593,Johann Baecksin,Mike Smith,,10,9,9,8,7,43,9
USA,7873,Ellen Ablow,Alan Norman,,7,11,7,10,8,43,10
USA,7611,Steve Smith,Craig Perez,,12,8,11,12,15,58,11
USA,3246,Andy Wisner,Tom Cook,,11,12,15,15,14,67,12
USA,8494,Dave Cahn,Ben Benjamin,,15,14,14,14,13,70,13
USA,8576,Bob Noyes,Bill Beardslee,,14,15,19,13,11,72,14
USA,8411,Kevin Taugher,Bruce Tilley,,17,20,13,11,12,73,15
,6227,Carissa Harris,Alex,,16,13,16,17,20,82,16
USA,7877,Eric Willis,Wendy,,13,16,18,16,20,83,17
,7300,Craig Collins,,,18,17,12,20,20,87,18
USA,8616,Ted Norquist,Kirk Wilson,,19,18,17,20,20,94,19
