Nation,Boat No,Helm,Crew,,Race 1,Race 2,Points,Place
USA,,Nick Adamson,Ben Benjamin,,3,2,5,1
USA,6992,Dan Thompson,Uli Coblenz,,2,3,5,1
USA,8554,Carisa Harris,Steve Bartz,,5,1,6,3
USA,,Mike Martin,Howard Hamlin,,1,6,7,4
SUI,,Urs,Hers,,4,5,9,5
USA,8411,Kevin Taugher,Bruce Tilley,,6,4,10,6
