Nation,No.,Skipper,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Name,After Drop,Place
USA,8645,Jim Englert,Thad Melton,HYC,1,1,1,5,2,,5,1
USA,8263,Ali Meller,AllanJohnson,WRSC,2,7,6,3,1,Bucephalus,12,2
USA,8012,Henry Amthor,Doug Amthor,HYC,4,5,2,1,6,,12,3
USA,8060,Tim Collins,Bill Smith,,DNS,2,3,6,3,,14,4
USA,7879,Jonathan Phillips,Monty Schumpert,WRSC,5,3,5,2,4,boat formerly known as red,14,5
USA,8191,Macy Nelson,Mike Mills,WRSC,3,4,4,4,5,,15,6
USA,7346,Latane Montague,Robert Montague,HYC,7,6,7,8,7,,27,7
USA,8058,Mark Freedman,Phillipe Goubalt,WRSC,6,8,8,7,8,Ariel,29,8
