Nation,Sail Number,Skipper,Crew,,1,2,3,4,5,6,7,Total,Place
USA,7685,Graham Alexander,Mark Koenig,,0.75,0.75,0.75,0.75,0.75,0.75,0.75,4.5,1
USA,7684,Ki Kaiser,John Badtke,,2,2,2,5,2,3,3,14,2
USA,6985,Dylan Breton,Mike Breton,,4,3,3,3,3,2,2,16,3
USA,7857,Jim Tuten,?,,7,5,5,2,5,5,8,29,4
USA,7790,Dave Stetson,?,,3,4,4,DNF,10,4,6,31,5
USA,4379,Barrett Rhoades,Andrew Gassman,,6,8,8,9,DNS,8,5,44,6
USA,6797,Jim Colegrove,Chris Colegrove,,DNS,6,6,6,8,10,11,47,7
USA,4593,Carol Alexander,?,,DNS,DNS,DNF,4,4,7,7,48,8
USA,6663,Annis,?,,8,9,7,11,6,13,9,50,9
USA,7605,T. Gessing,Adam Gessing,,DNS,DNS,10,8,9,6,4,52,10
USA,4380,Phil Terman,Susan Badtke,,5,7,9,7,DNS,14,13,55,11
USA,5759,Bob Alexander,Peter Goetz,,DNS,DNF,DNS,10,7,11,12,65,12
USA,7356,Mike Goldstein,Christina Rhoades,,DNS,DNS,DNS,DNS,DNS,9,10,79,13
USA,6660,Geoff Cashman,Chris Jackson,,DNS,DNS,DNS,DNS,DNS,12,DNF,86,14
