Nation,Booat No,Helm,Crew,,Race 1,Race 2,Race 3,Points,Netto,Place
GBR,8701,Robert Napier,Matthew Bristow,,1,1,3,5,5,1
GBR,8694,Andy Williams,Andy Edmunds,,2,2,2,6,6,2
GBR,8678,Jim Berry,Charles Walters,,10,3,1,14,14,3
IRL,8269,Peter Scannell,Mark O'Donovan,,5,4,5,14,14,3
IRL,7720,Ewen Barry,Shane O'Connell,,3,6,8,17,17,5
IRL,8752,Michael O'Brien,Kieran O'Leary,,4,8,6,18,18,6
GBR,8474,Chris Thorne,Colm Killeen,,6,5,10,21,21,7
IRL,848*,Wade Cuppage,David O'Connell,,12,7,4,23,23,8
IRL,8123,Ronnie Dumphy,Richie Harrington,,7,9,11,27,27,9
IRL,7914,Ronan Kenneally,Cathal Kenneally,,11,11,7,29,29,10
IRL,8309,James O'Brien,Dion Barrett,,8,12,12,32,32,11
IRL,8408,George Radley,Billy Joyce,,15,10,9,34,34,12
IRL,7973,Rob Bateman,Marcia D'Alton,,9,16,16,41,41,13
IRL,7302,Derek Stanley,John Mc Carthy,,14,13,16,43,43,14
IRL,8203,Shane Kennedy,Sandy Remmington,,13,16,16,45,45,15
