Nation,Sejlnr,Helm,Crew,Sejlklub,Race 1,Race 2,Race 3,Race 4,Total,Bådnavn,Nett,Rank
DEN,9118,Jan Saugmann,,Hellerup,1,(8.0),1,1,11,WTF,3,1
DEN,8440,Mikkel Christiansen,,Aalborg Sejlklub,3,1,2,(4.0),10,Waterat,6,2
DEN,8232,Jonas Christiansen,,Hellerup Sejlklub,(5.0),3,5,2,15,X,10,3
DEN,8828,Michael Wonterghem,,Sorø Sejlforening,(4.0),4,3,3,14,Bare vent,10,4
DEN,8677,Rasmus Andersen,,Aalborg sejlklub,(6.0),2,4,5,17,Rondar,11,5
AUS,8551,Martin Friderichsen,,Aalborg Sejlklub,2,5,(9.0 DNC),9.0 DNC,25,Carbonara,16,6
DEN,8472,Lotte Meldgaard Pedersen,,Sorø Sejlforening,(7.0),7,6,6,26,Team M,19,7
DEN,9109,Hans Genefke,,Hellerup,(8.0),6,7,7,28,intet navn,20,8
