Sail,no.,Skipper,Crew,,St. Raphael,Riva del Garda,KiWo,EC-Sopot,PL Pts. Tot,Place
DEN,8620,Saugmann Jan,Ramsbæk Morten,,146,2,4,2,8,1
GBR,8882,Pinnell Ian,Gibbon Carl,,1,3,146,11,15,2
GER,8580,Seeger Micael,Achterberg Andreas,,3,8,146,13,24,3
GER,8880,Kellner Christian,Rothe Robert,,4,10,12,14,28,4
GER,8466,Nieder Volker,Heising Stephan,,2,11,14,17,30,5
GER,8862,Böhm Stefan,Roos Gerald,,146,1,22,8,31,6
GER,8904,Forster Jan,Neuss Marcus,,5,146,13,19,37,7
GER,8916,Koechlin Stephan,Priegann Axel,,11,146,11,16,38,8
GER,8693,Daisenberger Micael,Lautenschlager Florian,,10,9,146,24,43,9
GER,8721,Christophersen Malte,Salein Sebastian,,15,146,16,12,43,10
SUI,8729,Stauffer Florian,Jacot Philipp,,16,13,146,15,44,11
DEN,8828,Andersen Jon,Andreasen Lasse,,146,16,21,25,62,12
DEN,8826,Bojland Tom,Andersen Uffe,,146,19,28,20,67,13
GER,8843,Voelckner Nici,Dehne Lars,,146,14,31,27,72,14
GER,8874,Dasenbrook Norbert,Meier (Skbue) Sven,,146,18,25,33,76,15
GER,8807,Unkelbach Franziska,Bogacki Wolfgang,,8,146,32,38,78,16
GER,8463,Achterberg Frieder,Lanatowitz Arne,,32,35,39,34,101,17
ITA,8127,Gambardella Marco,Candela Roberto,,146,32,42,29,103,18
ITA,8743,Giraldi Marco,Corbellini Paolo,,43,31,146,48,122,19
GER,8874,Waldheim Juergen,Wehden Daniel,,53,146,44,30,127,20
POL,8622,Korneszczuk Michal,Krempec Krysztof,,50,41,146,51,142,21
GBR,8907,Berry Jim,Barnes David,,61,43,146,43,147,22
GER,8940,Hunger Dr.Wolfgang,Jess Holger,,146,146,1,4,151,23
GER,8903,Herrmann Boris,Kleiner Julien,,146,146,3,5,154,24
GER,8875,Findel Jens,Tellen Johannes,,146,4,6,146,156,25
GER,8728,Schomäker Meike,Görge Rainer,,146,146,9,3,158,26
GER,8927,Goerge Martin,Rix Heini,,146,7,5,146,158,27
FRA,8771,Boite Phhilippe,Toupet Fabrice,,146,5,8,146,159,28
GBR,8908,Hunt Jim,Byrd Norman,,146,146,7,7,160,29
GER,8932,Filimonow Dirk,Stockmann Jars,,6,12,17,146,164,30
GBR,8881,Scutcher Terry,Diebitsch Christian,,14,6,146,146,166,31
SUI,8543,Bart Cedric,Marti Ueli,,12,15,146,146,173,32
GER,8777,Schollmayer Stephan,Sanguino Frisco,,13,21,146,146,180,33
GER,8751,Fischer Helen,Stenger Angela,,19,146,15,146,180,34
