Nation,SailNo,HelmName,CrewName,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Total,Nett,Place
FIN,8057,Johan Halonen,Kaj Lindfors,ASS,-3,1,2,1,1,2,10,7,1
FIN,8659,Kira Maisniemi,Matti Dillemoth,HSK,1,-4,4,2,4,1,16,12,2
FIN,8127,Jari Halmström,Juha Nurmela,KuoPS,-4,2,3,4,3,4,20,16,3
FIN,8585,Henri Räty,Jonas Björkqvist,N,5,3,1,3,-6,6,24,18,4
FIN,8053,Petri Ebeling,Juhani Heimsch,HSK,2,-6,6,6,2,5,27,21,5
FIN,8907,Hanno Narjus,Mikael Maksimow,TPS,-6,5,5,5,5,3,29,23,6
