Nation,Boat No,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Total,Netto,Place
FIN,8873,Sampsa Hyysalo,Lauri Kääpä,Carbon footprint HSK,1,1,1,2,4,-5,3,1,18,13,1st
FIN,8768,Jukka Nieminen,Antti Salonen,Giiamari SP,2,3,3,1,1,-4,1,3,18,14,2nd
FIN,8812,Matti Pentti,Otto Toivanen,G.O.L.F HSK,3,4,2,3,-5,1,2,2,22,17,3rd
FIN,8057,Kaj Lindfors,Johan Halonen,Wanha Rouva ASS,5,5,5,5,3,2,5,-8,38,30,4th
FIN,8582,Anssi Kienanen,Kauppinen Kaarle,HSS,10,-11,7,4,7,6,7,5,57,46,5th
FIN,8923,Michael Wolontis,Ville Malm,www.emerald.fi NJK,4,2,4,-13,13,12,10,4,62,49,6th
FIN,8127,Raimo Raita,Juha Nurmela,Rotta Vene-71,6,12,9,6,2,3,-15,12,65,50,7th
FIN,8632,Jari Hamström,Tuomas Laurila,KuoPs ,8,7,6,8,8,-14,8,6,65,51,8th
FIN,8466,Hannu Pöyry,Juha Pietilä,Pinkkiviiva VVK/PSMK,-11,6,10,11,10,9,4,7,68,57,9th
FIN,8659,Kira Maisniemi,Matti Dillemuth,Lennart HSK,7,10,-11,7,9,7,6,11,68,57,10th
FIN,7824,Erkka Ikonen,Jukka Suonpää,TaPs,12,9,8,-14,11,8,11,9,82,68,11th
FIN,7922,Olle Martonen,Mikael Nylund,Stig-Helmer WSF,9,8,(18.0 DNF),12,12,11,12,10,92,74,12th
FIN,8746,Kare Tikka,Juhani Heimsch,LP/HSK,13,13,(18.0 DNF),9,15,10,14,13,105,87,13th
FIN,8430,Jouni Valli,Iiro Jaakonsaari,N,(18.0 DNC),18 DNC,18 DNC,10,6,13,9,18 DNF,110,92,14th
FIN,8678,Arimo Leppä,Antti Sundqvist,Vilda Matilda II TPS,(18.0 DNC),18 DNC,18 DNC,16,16,15,13,14,128,110,15th
FIN,8907,Hanno Narjus,Mikael Maksimow,PikkuProssu TPS,(18.0 DNC),18 DNC,18 DNC,15,14,16,16,18 DNC,133,115,16th
FIN,8585,Henri Räty,Joonas Björkman,Wolax N, TPS (18.0 DNC),18 DNC,18 DNC,18 DNC,18 DNC,18 DNC,18 DNC,18 DNC,144,126,17th
